# id;timestamp;commentText;codeText;commentWords;codeWords
RoutingNodes -> UnassignedShards -> public int ignoredSize();1524684173;Returns the size of the temporarily marked as ignored unassigned shards;public int ignoredSize() { return ignored.size()_ };returns,the,size,of,the,temporarily,marked,as,ignored,unassigned,shards;public,int,ignored,size,return,ignored,size
RoutingNodes -> public ShardRouting activeReplicaWithHighestVersion(ShardId shardId);1541446827;Returns one active replica shard for the given shard id or <code>null</code> if_no active replica is found.__Since replicas could possibly be on nodes with a older version of ES than_the primary is, this will return replicas on the highest version of ES.;public ShardRouting activeReplicaWithHighestVersion(ShardId shardId) {_        _        _        _        _        _        return assignedShards(shardId).stream()_                .filter(shr -> !shr.primary() && shr.active())_                .filter(shr -> node(shr.currentNodeId()) != null)_                .max(Comparator.comparing(shr -> node(shr.currentNodeId()).node(),_                                Comparator.nullsFirst(Comparator.comparing(DiscoveryNode::getVersion))))_                .orElse(null)__    };returns,one,active,replica,shard,for,the,given,shard,id,or,code,null,code,if,no,active,replica,is,found,since,replicas,could,possibly,be,on,nodes,with,a,older,version,of,es,than,the,primary,is,this,will,return,replicas,on,the,highest,version,of,es;public,shard,routing,active,replica,with,highest,version,shard,id,shard,id,return,assigned,shards,shard,id,stream,filter,shr,shr,primary,shr,active,filter,shr,node,shr,current,node,id,null,max,comparator,comparing,shr,node,shr,current,node,id,node,comparator,nulls,first,comparator,comparing,discovery,node,get,version,or,else,null
RoutingNodes -> public ShardRouting activeReplicaWithHighestVersion(ShardId shardId);1548259585;Returns one active replica shard for the given shard id or <code>null</code> if_no active replica is found.__Since replicas could possibly be on nodes with a older version of ES than_the primary is, this will return replicas on the highest version of ES.;public ShardRouting activeReplicaWithHighestVersion(ShardId shardId) {_        _        _        _        _        _        return assignedShards(shardId).stream()_                .filter(shr -> !shr.primary() && shr.active())_                .filter(shr -> node(shr.currentNodeId()) != null)_                .max(Comparator.comparing(shr -> node(shr.currentNodeId()).node(),_                                Comparator.nullsFirst(Comparator.comparing(DiscoveryNode::getVersion))))_                .orElse(null)__    };returns,one,active,replica,shard,for,the,given,shard,id,or,code,null,code,if,no,active,replica,is,found,since,replicas,could,possibly,be,on,nodes,with,a,older,version,of,es,than,the,primary,is,this,will,return,replicas,on,the,highest,version,of,es;public,shard,routing,active,replica,with,highest,version,shard,id,shard,id,return,assigned,shards,shard,id,stream,filter,shr,shr,primary,shr,active,filter,shr,node,shr,current,node,id,null,max,comparator,comparing,shr,node,shr,current,node,id,node,comparator,nulls,first,comparator,comparing,discovery,node,get,version,or,else,null
RoutingNodes -> public ShardRouting activeReplicaWithHighestVersion(ShardId shardId);1549912434;Returns one active replica shard for the given shard id or <code>null</code> if_no active replica is found.__Since replicas could possibly be on nodes with a older version of ES than_the primary is, this will return replicas on the highest version of ES.;public ShardRouting activeReplicaWithHighestVersion(ShardId shardId) {_        _        _        _        _        _        return assignedShards(shardId).stream()_                .filter(shr -> !shr.primary() && shr.active())_                .filter(shr -> node(shr.currentNodeId()) != null)_                .max(Comparator.comparing(shr -> node(shr.currentNodeId()).node(),_                                Comparator.nullsFirst(Comparator.comparing(DiscoveryNode::getVersion))))_                .orElse(null)__    };returns,one,active,replica,shard,for,the,given,shard,id,or,code,null,code,if,no,active,replica,is,found,since,replicas,could,possibly,be,on,nodes,with,a,older,version,of,es,than,the,primary,is,this,will,return,replicas,on,the,highest,version,of,es;public,shard,routing,active,replica,with,highest,version,shard,id,shard,id,return,assigned,shards,shard,id,stream,filter,shr,shr,primary,shr,active,filter,shr,node,shr,current,node,id,null,max,comparator,comparing,shr,node,shr,current,node,id,node,comparator,nulls,first,comparator,comparing,discovery,node,get,version,or,else,null
RoutingNodes -> UnassignedShards -> public void ignoreShard(ShardRouting shard, AllocationStatus allocationStatus, RoutingChangesObserver changes);1524684173;Marks a shard as temporarily ignored and adds it to the ignore unassigned list._Should be used with caution, typically,_the correct usage is to removeAndIgnore from the iterator._@see #ignored()_@see UnassignedIterator#removeAndIgnore(AllocationStatus, RoutingChangesObserver)_@see #isIgnoredEmpty();public void ignoreShard(ShardRouting shard, AllocationStatus allocationStatus, RoutingChangesObserver changes) {_            nodes.ensureMutable()__            if (shard.primary()) {_                ignoredPrimaries++__                UnassignedInfo currInfo = shard.unassignedInfo()__                assert currInfo != null__                if (allocationStatus.equals(currInfo.getLastAllocationStatus()) == false) {_                    UnassignedInfo newInfo = new UnassignedInfo(currInfo.getReason(), currInfo.getMessage(), currInfo.getFailure(),_                                                                currInfo.getNumFailedAllocations(), currInfo.getUnassignedTimeInNanos(),_                                                                currInfo.getUnassignedTimeInMillis(), currInfo.isDelayed(),_                                                                allocationStatus)__                    ShardRouting updatedShard = shard.updateUnassigned(newInfo, shard.recoverySource())__                    changes.unassignedInfoUpdated(shard, newInfo)__                    shard = updatedShard__                }_            }_            ignored.add(shard)__        };marks,a,shard,as,temporarily,ignored,and,adds,it,to,the,ignore,unassigned,list,should,be,used,with,caution,typically,the,correct,usage,is,to,remove,and,ignore,from,the,iterator,see,ignored,see,unassigned,iterator,remove,and,ignore,allocation,status,routing,changes,observer,see,is,ignored,empty;public,void,ignore,shard,shard,routing,shard,allocation,status,allocation,status,routing,changes,observer,changes,nodes,ensure,mutable,if,shard,primary,ignored,primaries,unassigned,info,curr,info,shard,unassigned,info,assert,curr,info,null,if,allocation,status,equals,curr,info,get,last,allocation,status,false,unassigned,info,new,info,new,unassigned,info,curr,info,get,reason,curr,info,get,message,curr,info,get,failure,curr,info,get,num,failed,allocations,curr,info,get,unassigned,time,in,nanos,curr,info,get,unassigned,time,in,millis,curr,info,is,delayed,allocation,status,shard,routing,updated,shard,shard,update,unassigned,new,info,shard,recovery,source,changes,unassigned,info,updated,shard,new,info,shard,updated,shard,ignored,add,shard
RoutingNodes -> UnassignedShards -> public void ignoreShard(ShardRouting shard, AllocationStatus allocationStatus, RoutingChangesObserver changes);1540847035;Marks a shard as temporarily ignored and adds it to the ignore unassigned list._Should be used with caution, typically,_the correct usage is to removeAndIgnore from the iterator._@see #ignored()_@see UnassignedIterator#removeAndIgnore(AllocationStatus, RoutingChangesObserver)_@see #isIgnoredEmpty();public void ignoreShard(ShardRouting shard, AllocationStatus allocationStatus, RoutingChangesObserver changes) {_            nodes.ensureMutable()__            if (shard.primary()) {_                ignoredPrimaries++__                UnassignedInfo currInfo = shard.unassignedInfo()__                assert currInfo != null__                if (allocationStatus.equals(currInfo.getLastAllocationStatus()) == false) {_                    UnassignedInfo newInfo = new UnassignedInfo(currInfo.getReason(), currInfo.getMessage(), currInfo.getFailure(),_                                                                currInfo.getNumFailedAllocations(), currInfo.getUnassignedTimeInNanos(),_                                                                currInfo.getUnassignedTimeInMillis(), currInfo.isDelayed(),_                                                                allocationStatus)__                    ShardRouting updatedShard = shard.updateUnassigned(newInfo, shard.recoverySource())__                    changes.unassignedInfoUpdated(shard, newInfo)__                    shard = updatedShard__                }_            }_            ignored.add(shard)__        };marks,a,shard,as,temporarily,ignored,and,adds,it,to,the,ignore,unassigned,list,should,be,used,with,caution,typically,the,correct,usage,is,to,remove,and,ignore,from,the,iterator,see,ignored,see,unassigned,iterator,remove,and,ignore,allocation,status,routing,changes,observer,see,is,ignored,empty;public,void,ignore,shard,shard,routing,shard,allocation,status,allocation,status,routing,changes,observer,changes,nodes,ensure,mutable,if,shard,primary,ignored,primaries,unassigned,info,curr,info,shard,unassigned,info,assert,curr,info,null,if,allocation,status,equals,curr,info,get,last,allocation,status,false,unassigned,info,new,info,new,unassigned,info,curr,info,get,reason,curr,info,get,message,curr,info,get,failure,curr,info,get,num,failed,allocations,curr,info,get,unassigned,time,in,nanos,curr,info,get,unassigned,time,in,millis,curr,info,is,delayed,allocation,status,shard,routing,updated,shard,shard,update,unassigned,new,info,shard,recovery,source,changes,unassigned,info,updated,shard,new,info,shard,updated,shard,ignored,add,shard
RoutingNodes -> UnassignedShards -> public void ignoreShard(ShardRouting shard, AllocationStatus allocationStatus, RoutingChangesObserver changes);1541446827;Marks a shard as temporarily ignored and adds it to the ignore unassigned list._Should be used with caution, typically,_the correct usage is to removeAndIgnore from the iterator._@see #ignored()_@see UnassignedIterator#removeAndIgnore(AllocationStatus, RoutingChangesObserver)_@see #isIgnoredEmpty();public void ignoreShard(ShardRouting shard, AllocationStatus allocationStatus, RoutingChangesObserver changes) {_            nodes.ensureMutable()__            if (shard.primary()) {_                ignoredPrimaries++__                UnassignedInfo currInfo = shard.unassignedInfo()__                assert currInfo != null__                if (allocationStatus.equals(currInfo.getLastAllocationStatus()) == false) {_                    UnassignedInfo newInfo = new UnassignedInfo(currInfo.getReason(), currInfo.getMessage(), currInfo.getFailure(),_                                                                currInfo.getNumFailedAllocations(), currInfo.getUnassignedTimeInNanos(),_                                                                currInfo.getUnassignedTimeInMillis(), currInfo.isDelayed(),_                                                                allocationStatus)__                    ShardRouting updatedShard = shard.updateUnassigned(newInfo, shard.recoverySource())__                    changes.unassignedInfoUpdated(shard, newInfo)__                    shard = updatedShard__                }_            }_            ignored.add(shard)__        };marks,a,shard,as,temporarily,ignored,and,adds,it,to,the,ignore,unassigned,list,should,be,used,with,caution,typically,the,correct,usage,is,to,remove,and,ignore,from,the,iterator,see,ignored,see,unassigned,iterator,remove,and,ignore,allocation,status,routing,changes,observer,see,is,ignored,empty;public,void,ignore,shard,shard,routing,shard,allocation,status,allocation,status,routing,changes,observer,changes,nodes,ensure,mutable,if,shard,primary,ignored,primaries,unassigned,info,curr,info,shard,unassigned,info,assert,curr,info,null,if,allocation,status,equals,curr,info,get,last,allocation,status,false,unassigned,info,new,info,new,unassigned,info,curr,info,get,reason,curr,info,get,message,curr,info,get,failure,curr,info,get,num,failed,allocations,curr,info,get,unassigned,time,in,nanos,curr,info,get,unassigned,time,in,millis,curr,info,is,delayed,allocation,status,shard,routing,updated,shard,shard,update,unassigned,new,info,shard,recovery,source,changes,unassigned,info,updated,shard,new,info,shard,updated,shard,ignored,add,shard
RoutingNodes -> UnassignedShards -> public void ignoreShard(ShardRouting shard, AllocationStatus allocationStatus, RoutingChangesObserver changes);1548259585;Marks a shard as temporarily ignored and adds it to the ignore unassigned list._Should be used with caution, typically,_the correct usage is to removeAndIgnore from the iterator._@see #ignored()_@see UnassignedIterator#removeAndIgnore(AllocationStatus, RoutingChangesObserver)_@see #isIgnoredEmpty();public void ignoreShard(ShardRouting shard, AllocationStatus allocationStatus, RoutingChangesObserver changes) {_            nodes.ensureMutable()__            if (shard.primary()) {_                ignoredPrimaries++__                UnassignedInfo currInfo = shard.unassignedInfo()__                assert currInfo != null__                if (allocationStatus.equals(currInfo.getLastAllocationStatus()) == false) {_                    UnassignedInfo newInfo = new UnassignedInfo(currInfo.getReason(), currInfo.getMessage(), currInfo.getFailure(),_                                                                currInfo.getNumFailedAllocations(), currInfo.getUnassignedTimeInNanos(),_                                                                currInfo.getUnassignedTimeInMillis(), currInfo.isDelayed(),_                                                                allocationStatus)__                    ShardRouting updatedShard = shard.updateUnassigned(newInfo, shard.recoverySource())__                    changes.unassignedInfoUpdated(shard, newInfo)__                    shard = updatedShard__                }_            }_            ignored.add(shard)__        };marks,a,shard,as,temporarily,ignored,and,adds,it,to,the,ignore,unassigned,list,should,be,used,with,caution,typically,the,correct,usage,is,to,remove,and,ignore,from,the,iterator,see,ignored,see,unassigned,iterator,remove,and,ignore,allocation,status,routing,changes,observer,see,is,ignored,empty;public,void,ignore,shard,shard,routing,shard,allocation,status,allocation,status,routing,changes,observer,changes,nodes,ensure,mutable,if,shard,primary,ignored,primaries,unassigned,info,curr,info,shard,unassigned,info,assert,curr,info,null,if,allocation,status,equals,curr,info,get,last,allocation,status,false,unassigned,info,new,info,new,unassigned,info,curr,info,get,reason,curr,info,get,message,curr,info,get,failure,curr,info,get,num,failed,allocations,curr,info,get,unassigned,time,in,nanos,curr,info,get,unassigned,time,in,millis,curr,info,is,delayed,allocation,status,shard,routing,updated,shard,shard,update,unassigned,new,info,shard,recovery,source,changes,unassigned,info,updated,shard,new,info,shard,updated,shard,ignored,add,shard
RoutingNodes -> UnassignedShards -> public void ignoreShard(ShardRouting shard, AllocationStatus allocationStatus, RoutingChangesObserver changes);1549912434;Marks a shard as temporarily ignored and adds it to the ignore unassigned list._Should be used with caution, typically,_the correct usage is to removeAndIgnore from the iterator._@see #ignored()_@see UnassignedIterator#removeAndIgnore(AllocationStatus, RoutingChangesObserver)_@see #isIgnoredEmpty();public void ignoreShard(ShardRouting shard, AllocationStatus allocationStatus, RoutingChangesObserver changes) {_            nodes.ensureMutable()__            if (shard.primary()) {_                ignoredPrimaries++__                UnassignedInfo currInfo = shard.unassignedInfo()__                assert currInfo != null__                if (allocationStatus.equals(currInfo.getLastAllocationStatus()) == false) {_                    UnassignedInfo newInfo = new UnassignedInfo(currInfo.getReason(), currInfo.getMessage(), currInfo.getFailure(),_                                                                currInfo.getNumFailedAllocations(), currInfo.getUnassignedTimeInNanos(),_                                                                currInfo.getUnassignedTimeInMillis(), currInfo.isDelayed(),_                                                                allocationStatus)__                    ShardRouting updatedShard = shard.updateUnassigned(newInfo, shard.recoverySource())__                    changes.unassignedInfoUpdated(shard, newInfo)__                    shard = updatedShard__                }_            }_            ignored.add(shard)__        };marks,a,shard,as,temporarily,ignored,and,adds,it,to,the,ignore,unassigned,list,should,be,used,with,caution,typically,the,correct,usage,is,to,remove,and,ignore,from,the,iterator,see,ignored,see,unassigned,iterator,remove,and,ignore,allocation,status,routing,changes,observer,see,is,ignored,empty;public,void,ignore,shard,shard,routing,shard,allocation,status,allocation,status,routing,changes,observer,changes,nodes,ensure,mutable,if,shard,primary,ignored,primaries,unassigned,info,curr,info,shard,unassigned,info,assert,curr,info,null,if,allocation,status,equals,curr,info,get,last,allocation,status,false,unassigned,info,new,info,new,unassigned,info,curr,info,get,reason,curr,info,get,message,curr,info,get,failure,curr,info,get,num,failed,allocations,curr,info,get,unassigned,time,in,nanos,curr,info,get,unassigned,time,in,millis,curr,info,is,delayed,allocation,status,shard,routing,updated,shard,shard,update,unassigned,new,info,shard,recovery,source,changes,unassigned,info,updated,shard,new,info,shard,updated,shard,ignored,add,shard
RoutingNodes -> public boolean hasUnassignedPrimaries();1524684173;Returns <code>true</code> iff this {@link RoutingNodes} instance has any unassigned primaries even if the_primaries are marked as temporarily ignored.;public boolean hasUnassignedPrimaries() {_        return unassignedShards.getNumPrimaries() + unassignedShards.getNumIgnoredPrimaries() > 0__    };returns,code,true,code,iff,this,link,routing,nodes,instance,has,any,unassigned,primaries,even,if,the,primaries,are,marked,as,temporarily,ignored;public,boolean,has,unassigned,primaries,return,unassigned,shards,get,num,primaries,unassigned,shards,get,num,ignored,primaries,0
RoutingNodes -> public boolean hasUnassignedPrimaries();1540847035;Returns <code>true</code> iff this {@link RoutingNodes} instance has any unassigned primaries even if the_primaries are marked as temporarily ignored.;public boolean hasUnassignedPrimaries() {_        return unassignedShards.getNumPrimaries() + unassignedShards.getNumIgnoredPrimaries() > 0__    };returns,code,true,code,iff,this,link,routing,nodes,instance,has,any,unassigned,primaries,even,if,the,primaries,are,marked,as,temporarily,ignored;public,boolean,has,unassigned,primaries,return,unassigned,shards,get,num,primaries,unassigned,shards,get,num,ignored,primaries,0
RoutingNodes -> public boolean hasUnassignedPrimaries();1541446827;Returns <code>true</code> iff this {@link RoutingNodes} instance has any unassigned primaries even if the_primaries are marked as temporarily ignored.;public boolean hasUnassignedPrimaries() {_        return unassignedShards.getNumPrimaries() + unassignedShards.getNumIgnoredPrimaries() > 0__    };returns,code,true,code,iff,this,link,routing,nodes,instance,has,any,unassigned,primaries,even,if,the,primaries,are,marked,as,temporarily,ignored;public,boolean,has,unassigned,primaries,return,unassigned,shards,get,num,primaries,unassigned,shards,get,num,ignored,primaries,0
RoutingNodes -> public boolean hasUnassignedPrimaries();1548259585;Returns <code>true</code> iff this {@link RoutingNodes} instance has any unassigned primaries even if the_primaries are marked as temporarily ignored.;public boolean hasUnassignedPrimaries() {_        return unassignedShards.getNumPrimaries() + unassignedShards.getNumIgnoredPrimaries() > 0__    };returns,code,true,code,iff,this,link,routing,nodes,instance,has,any,unassigned,primaries,even,if,the,primaries,are,marked,as,temporarily,ignored;public,boolean,has,unassigned,primaries,return,unassigned,shards,get,num,primaries,unassigned,shards,get,num,ignored,primaries,0
RoutingNodes -> public boolean hasUnassignedPrimaries();1549912434;Returns <code>true</code> iff this {@link RoutingNodes} instance has any unassigned primaries even if the_primaries are marked as temporarily ignored.;public boolean hasUnassignedPrimaries() {_        return unassignedShards.getNumPrimaries() + unassignedShards.getNumIgnoredPrimaries() > 0__    };returns,code,true,code,iff,this,link,routing,nodes,instance,has,any,unassigned,primaries,even,if,the,primaries,are,marked,as,temporarily,ignored;public,boolean,has,unassigned,primaries,return,unassigned,shards,get,num,primaries,unassigned,shards,get,num,ignored,primaries,0
RoutingNodes -> private ShardRouting cancelRelocation(ShardRouting shard);1524684173;Cancels a relocation of a shard that shard must relocating.__@return the shard after cancelling relocation;private ShardRouting cancelRelocation(ShardRouting shard) {_        relocatingShards--__        ShardRouting cancelledShard = shard.cancelRelocation()__        updateAssigned(shard, cancelledShard)__        return cancelledShard__    };cancels,a,relocation,of,a,shard,that,shard,must,relocating,return,the,shard,after,cancelling,relocation;private,shard,routing,cancel,relocation,shard,routing,shard,relocating,shards,shard,routing,cancelled,shard,shard,cancel,relocation,update,assigned,shard,cancelled,shard,return,cancelled,shard
RoutingNodes -> private ShardRouting cancelRelocation(ShardRouting shard);1540847035;Cancels a relocation of a shard that shard must relocating.__@return the shard after cancelling relocation;private ShardRouting cancelRelocation(ShardRouting shard) {_        relocatingShards--__        ShardRouting cancelledShard = shard.cancelRelocation()__        updateAssigned(shard, cancelledShard)__        return cancelledShard__    };cancels,a,relocation,of,a,shard,that,shard,must,relocating,return,the,shard,after,cancelling,relocation;private,shard,routing,cancel,relocation,shard,routing,shard,relocating,shards,shard,routing,cancelled,shard,shard,cancel,relocation,update,assigned,shard,cancelled,shard,return,cancelled,shard
RoutingNodes -> private ShardRouting cancelRelocation(ShardRouting shard);1541446827;Cancels a relocation of a shard that shard must relocating.__@return the shard after cancelling relocation;private ShardRouting cancelRelocation(ShardRouting shard) {_        relocatingShards--__        ShardRouting cancelledShard = shard.cancelRelocation()__        updateAssigned(shard, cancelledShard)__        return cancelledShard__    };cancels,a,relocation,of,a,shard,that,shard,must,relocating,return,the,shard,after,cancelling,relocation;private,shard,routing,cancel,relocation,shard,routing,shard,relocating,shards,shard,routing,cancelled,shard,shard,cancel,relocation,update,assigned,shard,cancelled,shard,return,cancelled,shard
RoutingNodes -> private ShardRouting cancelRelocation(ShardRouting shard);1548259585;Cancels a relocation of a shard that shard must relocating.__@return the shard after cancelling relocation;private ShardRouting cancelRelocation(ShardRouting shard) {_        relocatingShards--__        ShardRouting cancelledShard = shard.cancelRelocation()__        updateAssigned(shard, cancelledShard)__        return cancelledShard__    };cancels,a,relocation,of,a,shard,that,shard,must,relocating,return,the,shard,after,cancelling,relocation;private,shard,routing,cancel,relocation,shard,routing,shard,relocating,shards,shard,routing,cancelled,shard,shard,cancel,relocation,update,assigned,shard,cancelled,shard,return,cancelled,shard
RoutingNodes -> private ShardRouting cancelRelocation(ShardRouting shard);1549912434;Cancels a relocation of a shard that shard must relocating.__@return the shard after cancelling relocation;private ShardRouting cancelRelocation(ShardRouting shard) {_        relocatingShards--__        ShardRouting cancelledShard = shard.cancelRelocation()__        updateAssigned(shard, cancelledShard)__        return cancelledShard__    };cancels,a,relocation,of,a,shard,that,shard,must,relocating,return,the,shard,after,cancelling,relocation;private,shard,routing,cancel,relocation,shard,routing,shard,relocating,shards,shard,routing,cancelled,shard,shard,cancel,relocation,update,assigned,shard,cancelled,shard,return,cancelled,shard
RoutingNodes -> UnassignedShards -> public int getNumIgnoredPrimaries();1524684173;Returns the number of temporarily marked as ignored unassigned primaries;public int getNumIgnoredPrimaries() { return ignoredPrimaries_ };returns,the,number,of,temporarily,marked,as,ignored,unassigned,primaries;public,int,get,num,ignored,primaries,return,ignored,primaries
RoutingNodes -> UnassignedShards -> public int getNumIgnoredPrimaries();1540847035;Returns the number of temporarily marked as ignored unassigned primaries;public int getNumIgnoredPrimaries() { return ignoredPrimaries_ };returns,the,number,of,temporarily,marked,as,ignored,unassigned,primaries;public,int,get,num,ignored,primaries,return,ignored,primaries
RoutingNodes -> UnassignedShards -> public int getNumIgnoredPrimaries();1541446827;Returns the number of temporarily marked as ignored unassigned primaries;public int getNumIgnoredPrimaries() { return ignoredPrimaries_ };returns,the,number,of,temporarily,marked,as,ignored,unassigned,primaries;public,int,get,num,ignored,primaries,return,ignored,primaries
RoutingNodes -> UnassignedShards -> public int getNumIgnoredPrimaries();1548259585;Returns the number of temporarily marked as ignored unassigned primaries;public int getNumIgnoredPrimaries() { return ignoredPrimaries_ };returns,the,number,of,temporarily,marked,as,ignored,unassigned,primaries;public,int,get,num,ignored,primaries,return,ignored,primaries
RoutingNodes -> UnassignedShards -> public int getNumIgnoredPrimaries();1549912434;Returns the number of temporarily marked as ignored unassigned primaries;public int getNumIgnoredPrimaries() { return ignoredPrimaries_ };returns,the,number,of,temporarily,marked,as,ignored,unassigned,primaries;public,int,get,num,ignored,primaries,return,ignored,primaries
RoutingNodes -> private ShardRouting movePrimaryToUnassignedAndDemoteToReplica(ShardRouting shard, UnassignedInfo unassignedInfo);1524684173;Moves assigned primary to unassigned and demotes it to a replica._Used in conjunction with {@link #promoteActiveReplicaShardToPrimary} when an active replica is promoted to primary.;private ShardRouting movePrimaryToUnassignedAndDemoteToReplica(ShardRouting shard, UnassignedInfo unassignedInfo) {_        assert shard.unassigned() == false : "only assigned shards can be moved to unassigned (" + shard + ")"__        assert shard.primary() : "only primary can be demoted to replica (" + shard + ")"__        remove(shard)__        ShardRouting unassigned = shard.moveToUnassigned(unassignedInfo).moveUnassignedFromPrimary()__        unassignedShards.add(unassigned)__        return unassigned__    };moves,assigned,primary,to,unassigned,and,demotes,it,to,a,replica,used,in,conjunction,with,link,promote,active,replica,shard,to,primary,when,an,active,replica,is,promoted,to,primary;private,shard,routing,move,primary,to,unassigned,and,demote,to,replica,shard,routing,shard,unassigned,info,unassigned,info,assert,shard,unassigned,false,only,assigned,shards,can,be,moved,to,unassigned,shard,assert,shard,primary,only,primary,can,be,demoted,to,replica,shard,remove,shard,shard,routing,unassigned,shard,move,to,unassigned,unassigned,info,move,unassigned,from,primary,unassigned,shards,add,unassigned,return,unassigned
RoutingNodes -> private ShardRouting movePrimaryToUnassignedAndDemoteToReplica(ShardRouting shard, UnassignedInfo unassignedInfo);1540847035;Moves assigned primary to unassigned and demotes it to a replica._Used in conjunction with {@link #promoteActiveReplicaShardToPrimary} when an active replica is promoted to primary.;private ShardRouting movePrimaryToUnassignedAndDemoteToReplica(ShardRouting shard, UnassignedInfo unassignedInfo) {_        assert shard.unassigned() == false : "only assigned shards can be moved to unassigned (" + shard + ")"__        assert shard.primary() : "only primary can be demoted to replica (" + shard + ")"__        remove(shard)__        ShardRouting unassigned = shard.moveToUnassigned(unassignedInfo).moveUnassignedFromPrimary()__        unassignedShards.add(unassigned)__        return unassigned__    };moves,assigned,primary,to,unassigned,and,demotes,it,to,a,replica,used,in,conjunction,with,link,promote,active,replica,shard,to,primary,when,an,active,replica,is,promoted,to,primary;private,shard,routing,move,primary,to,unassigned,and,demote,to,replica,shard,routing,shard,unassigned,info,unassigned,info,assert,shard,unassigned,false,only,assigned,shards,can,be,moved,to,unassigned,shard,assert,shard,primary,only,primary,can,be,demoted,to,replica,shard,remove,shard,shard,routing,unassigned,shard,move,to,unassigned,unassigned,info,move,unassigned,from,primary,unassigned,shards,add,unassigned,return,unassigned
RoutingNodes -> private ShardRouting movePrimaryToUnassignedAndDemoteToReplica(ShardRouting shard, UnassignedInfo unassignedInfo);1541446827;Moves assigned primary to unassigned and demotes it to a replica._Used in conjunction with {@link #promoteActiveReplicaShardToPrimary} when an active replica is promoted to primary.;private ShardRouting movePrimaryToUnassignedAndDemoteToReplica(ShardRouting shard, UnassignedInfo unassignedInfo) {_        assert shard.unassigned() == false : "only assigned shards can be moved to unassigned (" + shard + ")"__        assert shard.primary() : "only primary can be demoted to replica (" + shard + ")"__        remove(shard)__        ShardRouting unassigned = shard.moveToUnassigned(unassignedInfo).moveUnassignedFromPrimary()__        unassignedShards.add(unassigned)__        return unassigned__    };moves,assigned,primary,to,unassigned,and,demotes,it,to,a,replica,used,in,conjunction,with,link,promote,active,replica,shard,to,primary,when,an,active,replica,is,promoted,to,primary;private,shard,routing,move,primary,to,unassigned,and,demote,to,replica,shard,routing,shard,unassigned,info,unassigned,info,assert,shard,unassigned,false,only,assigned,shards,can,be,moved,to,unassigned,shard,assert,shard,primary,only,primary,can,be,demoted,to,replica,shard,remove,shard,shard,routing,unassigned,shard,move,to,unassigned,unassigned,info,move,unassigned,from,primary,unassigned,shards,add,unassigned,return,unassigned
RoutingNodes -> private ShardRouting movePrimaryToUnassignedAndDemoteToReplica(ShardRouting shard, UnassignedInfo unassignedInfo);1548259585;Moves assigned primary to unassigned and demotes it to a replica._Used in conjunction with {@link #promoteActiveReplicaShardToPrimary} when an active replica is promoted to primary.;private ShardRouting movePrimaryToUnassignedAndDemoteToReplica(ShardRouting shard, UnassignedInfo unassignedInfo) {_        assert shard.unassigned() == false : "only assigned shards can be moved to unassigned (" + shard + ")"__        assert shard.primary() : "only primary can be demoted to replica (" + shard + ")"__        remove(shard)__        ShardRouting unassigned = shard.moveToUnassigned(unassignedInfo).moveUnassignedFromPrimary()__        unassignedShards.add(unassigned)__        return unassigned__    };moves,assigned,primary,to,unassigned,and,demotes,it,to,a,replica,used,in,conjunction,with,link,promote,active,replica,shard,to,primary,when,an,active,replica,is,promoted,to,primary;private,shard,routing,move,primary,to,unassigned,and,demote,to,replica,shard,routing,shard,unassigned,info,unassigned,info,assert,shard,unassigned,false,only,assigned,shards,can,be,moved,to,unassigned,shard,assert,shard,primary,only,primary,can,be,demoted,to,replica,shard,remove,shard,shard,routing,unassigned,shard,move,to,unassigned,unassigned,info,move,unassigned,from,primary,unassigned,shards,add,unassigned,return,unassigned
RoutingNodes -> private ShardRouting movePrimaryToUnassignedAndDemoteToReplica(ShardRouting shard, UnassignedInfo unassignedInfo);1549912434;Moves assigned primary to unassigned and demotes it to a replica._Used in conjunction with {@link #promoteActiveReplicaShardToPrimary} when an active replica is promoted to primary.;private ShardRouting movePrimaryToUnassignedAndDemoteToReplica(ShardRouting shard, UnassignedInfo unassignedInfo) {_        assert shard.unassigned() == false : "only assigned shards can be moved to unassigned (" + shard + ")"__        assert shard.primary() : "only primary can be demoted to replica (" + shard + ")"__        remove(shard)__        ShardRouting unassigned = shard.moveToUnassigned(unassignedInfo).moveUnassignedFromPrimary()__        unassignedShards.add(unassigned)__        return unassigned__    };moves,assigned,primary,to,unassigned,and,demotes,it,to,a,replica,used,in,conjunction,with,link,promote,active,replica,shard,to,primary,when,an,active,replica,is,promoted,to,primary;private,shard,routing,move,primary,to,unassigned,and,demote,to,replica,shard,routing,shard,unassigned,info,unassigned,info,assert,shard,unassigned,false,only,assigned,shards,can,be,moved,to,unassigned,shard,assert,shard,primary,only,primary,can,be,demoted,to,replica,shard,remove,shard,shard,routing,unassigned,shard,move,to,unassigned,unassigned,info,move,unassigned,from,primary,unassigned,shards,add,unassigned,return,unassigned
