# id;timestamp;commentText;codeText;commentWords;codeWords
AbstractPlatformTransactionManager -> protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus);1328020251;Actually invoke the <code>afterCompletion</code> methods of the_given Spring TransactionSynchronization objects._<p>To be called by this abstract manager itself, or by special implementations_of the <code>registerAfterCompletionWithExistingTransaction</code> callback._@param synchronizations List of TransactionSynchronization objects_@param completionStatus the completion status according to the_constants in the TransactionSynchronization interface_@see #registerAfterCompletionWithExistingTransaction(Object, java.util.List)_@see TransactionSynchronization#STATUS_COMMITTED_@see TransactionSynchronization#STATUS_ROLLED_BACK_@see TransactionSynchronization#STATUS_UNKNOWN;protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus) {_		TransactionSynchronizationUtils.invokeAfterCompletion(synchronizations, completionStatus)__	};actually,invoke,the,code,after,completion,code,methods,of,the,given,spring,transaction,synchronization,objects,p,to,be,called,by,this,abstract,manager,itself,or,by,special,implementations,of,the,code,register,after,completion,with,existing,transaction,code,callback,param,synchronizations,list,of,transaction,synchronization,objects,param,completion,status,the,completion,status,according,to,the,constants,in,the,transaction,synchronization,interface,see,register,after,completion,with,existing,transaction,object,java,util,list,see,transaction,synchronization,see,transaction,synchronization,see,transaction,synchronization;protected,final,void,invoke,after,completion,list,transaction,synchronization,synchronizations,int,completion,status,transaction,synchronization,utils,invoke,after,completion,synchronizations,completion,status
AbstractPlatformTransactionManager -> @Override 	public final void rollback(TransactionStatus status) throws TransactionException;1413473170;This implementation of rollback handles participating in existing_transactions. Delegates to {@code doRollback} and_{@code doSetRollbackOnly}._@see #doRollback_@see #doSetRollbackOnly;@Override_	public final void rollback(TransactionStatus status) throws TransactionException {_		if (status.isCompleted()) {_			throw new IllegalTransactionStateException(_					"Transaction is already completed - do not call commit or rollback more than once per transaction")__		}__		DefaultTransactionStatus defStatus = (DefaultTransactionStatus) status__		processRollback(defStatus)__	};this,implementation,of,rollback,handles,participating,in,existing,transactions,delegates,to,code,do,rollback,and,code,do,set,rollback,only,see,do,rollback,see,do,set,rollback,only;override,public,final,void,rollback,transaction,status,status,throws,transaction,exception,if,status,is,completed,throw,new,illegal,transaction,state,exception,transaction,is,already,completed,do,not,call,commit,or,rollback,more,than,once,per,transaction,default,transaction,status,def,status,default,transaction,status,status,process,rollback,def,status
AbstractPlatformTransactionManager -> @Override 	public final void rollback(TransactionStatus status) throws TransactionException;1425660345;This implementation of rollback handles participating in existing_transactions. Delegates to {@code doRollback} and_{@code doSetRollbackOnly}._@see #doRollback_@see #doSetRollbackOnly;@Override_	public final void rollback(TransactionStatus status) throws TransactionException {_		if (status.isCompleted()) {_			throw new IllegalTransactionStateException(_					"Transaction is already completed - do not call commit or rollback more than once per transaction")__		}__		DefaultTransactionStatus defStatus = (DefaultTransactionStatus) status__		processRollback(defStatus)__	};this,implementation,of,rollback,handles,participating,in,existing,transactions,delegates,to,code,do,rollback,and,code,do,set,rollback,only,see,do,rollback,see,do,set,rollback,only;override,public,final,void,rollback,transaction,status,status,throws,transaction,exception,if,status,is,completed,throw,new,illegal,transaction,state,exception,transaction,is,already,completed,do,not,call,commit,or,rollback,more,than,once,per,transaction,default,transaction,status,def,status,default,transaction,status,status,process,rollback,def,status
AbstractPlatformTransactionManager -> @Override 	public final void rollback(TransactionStatus status) throws TransactionException;1437567612;This implementation of rollback handles participating in existing_transactions. Delegates to {@code doRollback} and_{@code doSetRollbackOnly}._@see #doRollback_@see #doSetRollbackOnly;@Override_	public final void rollback(TransactionStatus status) throws TransactionException {_		if (status.isCompleted()) {_			throw new IllegalTransactionStateException(_					"Transaction is already completed - do not call commit or rollback more than once per transaction")__		}__		DefaultTransactionStatus defStatus = (DefaultTransactionStatus) status__		processRollback(defStatus)__	};this,implementation,of,rollback,handles,participating,in,existing,transactions,delegates,to,code,do,rollback,and,code,do,set,rollback,only,see,do,rollback,see,do,set,rollback,only;override,public,final,void,rollback,transaction,status,status,throws,transaction,exception,if,status,is,completed,throw,new,illegal,transaction,state,exception,transaction,is,already,completed,do,not,call,commit,or,rollback,more,than,once,per,transaction,default,transaction,status,def,status,default,transaction,status,status,process,rollback,def,status
AbstractPlatformTransactionManager -> @Override 	public final void rollback(TransactionStatus status) throws TransactionException;1486062666;This implementation of rollback handles participating in existing_transactions. Delegates to {@code doRollback} and_{@code doSetRollbackOnly}._@see #doRollback_@see #doSetRollbackOnly;@Override_	public final void rollback(TransactionStatus status) throws TransactionException {_		if (status.isCompleted()) {_			throw new IllegalTransactionStateException(_					"Transaction is already completed - do not call commit or rollback more than once per transaction")__		}__		DefaultTransactionStatus defStatus = (DefaultTransactionStatus) status__		processRollback(defStatus)__	};this,implementation,of,rollback,handles,participating,in,existing,transactions,delegates,to,code,do,rollback,and,code,do,set,rollback,only,see,do,rollback,see,do,set,rollback,only;override,public,final,void,rollback,transaction,status,status,throws,transaction,exception,if,status,is,completed,throw,new,illegal,transaction,state,exception,transaction,is,already,completed,do,not,call,commit,or,rollback,more,than,once,per,transaction,default,transaction,status,def,status,default,transaction,status,status,process,rollback,def,status
AbstractPlatformTransactionManager -> @Override 	public final void rollback(TransactionStatus status) throws TransactionException;1486719573;This implementation of rollback handles participating in existing_transactions. Delegates to {@code doRollback} and_{@code doSetRollbackOnly}._@see #doRollback_@see #doSetRollbackOnly;@Override_	public final void rollback(TransactionStatus status) throws TransactionException {_		if (status.isCompleted()) {_			throw new IllegalTransactionStateException(_					"Transaction is already completed - do not call commit or rollback more than once per transaction")__		}__		DefaultTransactionStatus defStatus = (DefaultTransactionStatus) status__		processRollback(defStatus)__	};this,implementation,of,rollback,handles,participating,in,existing,transactions,delegates,to,code,do,rollback,and,code,do,set,rollback,only,see,do,rollback,see,do,set,rollback,only;override,public,final,void,rollback,transaction,status,status,throws,transaction,exception,if,status,is,completed,throw,new,illegal,transaction,state,exception,transaction,is,already,completed,do,not,call,commit,or,rollback,more,than,once,per,transaction,default,transaction,status,def,status,default,transaction,status,status,process,rollback,def,status
AbstractPlatformTransactionManager -> @Override 	public final void rollback(TransactionStatus status) throws TransactionException;1487371244;This implementation of rollback handles participating in existing_transactions. Delegates to {@code doRollback} and_{@code doSetRollbackOnly}._@see #doRollback_@see #doSetRollbackOnly;@Override_	public final void rollback(TransactionStatus status) throws TransactionException {_		if (status.isCompleted()) {_			throw new IllegalTransactionStateException(_					"Transaction is already completed - do not call commit or rollback more than once per transaction")__		}__		DefaultTransactionStatus defStatus = (DefaultTransactionStatus) status__		processRollback(defStatus, false)__	};this,implementation,of,rollback,handles,participating,in,existing,transactions,delegates,to,code,do,rollback,and,code,do,set,rollback,only,see,do,rollback,see,do,set,rollback,only;override,public,final,void,rollback,transaction,status,status,throws,transaction,exception,if,status,is,completed,throw,new,illegal,transaction,state,exception,transaction,is,already,completed,do,not,call,commit,or,rollback,more,than,once,per,transaction,default,transaction,status,def,status,default,transaction,status,status,process,rollback,def,status,false
AbstractPlatformTransactionManager -> @Override 	public final void rollback(TransactionStatus status) throws TransactionException;1495868221;This implementation of rollback handles participating in existing_transactions. Delegates to {@code doRollback} and_{@code doSetRollbackOnly}._@see #doRollback_@see #doSetRollbackOnly;@Override_	public final void rollback(TransactionStatus status) throws TransactionException {_		if (status.isCompleted()) {_			throw new IllegalTransactionStateException(_					"Transaction is already completed - do not call commit or rollback more than once per transaction")__		}__		DefaultTransactionStatus defStatus = (DefaultTransactionStatus) status__		processRollback(defStatus, false)__	};this,implementation,of,rollback,handles,participating,in,existing,transactions,delegates,to,code,do,rollback,and,code,do,set,rollback,only,see,do,rollback,see,do,set,rollback,only;override,public,final,void,rollback,transaction,status,status,throws,transaction,exception,if,status,is,completed,throw,new,illegal,transaction,state,exception,transaction,is,already,completed,do,not,call,commit,or,rollback,more,than,once,per,transaction,default,transaction,status,def,status,default,transaction,status,status,process,rollback,def,status,false
AbstractPlatformTransactionManager -> @Override 	public final void rollback(TransactionStatus status) throws TransactionException;1496242568;This implementation of rollback handles participating in existing_transactions. Delegates to {@code doRollback} and_{@code doSetRollbackOnly}._@see #doRollback_@see #doSetRollbackOnly;@Override_	public final void rollback(TransactionStatus status) throws TransactionException {_		if (status.isCompleted()) {_			throw new IllegalTransactionStateException(_					"Transaction is already completed - do not call commit or rollback more than once per transaction")__		}__		DefaultTransactionStatus defStatus = (DefaultTransactionStatus) status__		processRollback(defStatus, false)__	};this,implementation,of,rollback,handles,participating,in,existing,transactions,delegates,to,code,do,rollback,and,code,do,set,rollback,only,see,do,rollback,see,do,set,rollback,only;override,public,final,void,rollback,transaction,status,status,throws,transaction,exception,if,status,is,completed,throw,new,illegal,transaction,state,exception,transaction,is,already,completed,do,not,call,commit,or,rollback,more,than,once,per,transaction,default,transaction,status,def,status,default,transaction,status,status,process,rollback,def,status,false
AbstractPlatformTransactionManager -> @Override 	public final void rollback(TransactionStatus status) throws TransactionException;1496259743;This implementation of rollback handles participating in existing_transactions. Delegates to {@code doRollback} and_{@code doSetRollbackOnly}._@see #doRollback_@see #doSetRollbackOnly;@Override_	public final void rollback(TransactionStatus status) throws TransactionException {_		if (status.isCompleted()) {_			throw new IllegalTransactionStateException(_					"Transaction is already completed - do not call commit or rollback more than once per transaction")__		}__		DefaultTransactionStatus defStatus = (DefaultTransactionStatus) status__		processRollback(defStatus, false)__	};this,implementation,of,rollback,handles,participating,in,existing,transactions,delegates,to,code,do,rollback,and,code,do,set,rollback,only,see,do,rollback,see,do,set,rollback,only;override,public,final,void,rollback,transaction,status,status,throws,transaction,exception,if,status,is,completed,throw,new,illegal,transaction,state,exception,transaction,is,already,completed,do,not,call,commit,or,rollback,more,than,once,per,transaction,default,transaction,status,def,status,default,transaction,status,status,process,rollback,def,status,false
AbstractPlatformTransactionManager -> @Override 	public final void rollback(TransactionStatus status) throws TransactionException;1496837955;This implementation of rollback handles participating in existing_transactions. Delegates to {@code doRollback} and_{@code doSetRollbackOnly}._@see #doRollback_@see #doSetRollbackOnly;@Override_	public final void rollback(TransactionStatus status) throws TransactionException {_		if (status.isCompleted()) {_			throw new IllegalTransactionStateException(_					"Transaction is already completed - do not call commit or rollback more than once per transaction")__		}__		DefaultTransactionStatus defStatus = (DefaultTransactionStatus) status__		processRollback(defStatus, false)__	};this,implementation,of,rollback,handles,participating,in,existing,transactions,delegates,to,code,do,rollback,and,code,do,set,rollback,only,see,do,rollback,see,do,set,rollback,only;override,public,final,void,rollback,transaction,status,status,throws,transaction,exception,if,status,is,completed,throw,new,illegal,transaction,state,exception,transaction,is,already,completed,do,not,call,commit,or,rollback,more,than,once,per,transaction,default,transaction,status,def,status,default,transaction,status,status,process,rollback,def,status,false
AbstractPlatformTransactionManager -> @Override 	public final void rollback(TransactionStatus status) throws TransactionException;1498780456;This implementation of rollback handles participating in existing_transactions. Delegates to {@code doRollback} and_{@code doSetRollbackOnly}._@see #doRollback_@see #doSetRollbackOnly;@Override_	public final void rollback(TransactionStatus status) throws TransactionException {_		if (status.isCompleted()) {_			throw new IllegalTransactionStateException(_					"Transaction is already completed - do not call commit or rollback more than once per transaction")__		}__		DefaultTransactionStatus defStatus = (DefaultTransactionStatus) status__		processRollback(defStatus, false)__	};this,implementation,of,rollback,handles,participating,in,existing,transactions,delegates,to,code,do,rollback,and,code,do,set,rollback,only,see,do,rollback,see,do,set,rollback,only;override,public,final,void,rollback,transaction,status,status,throws,transaction,exception,if,status,is,completed,throw,new,illegal,transaction,state,exception,transaction,is,already,completed,do,not,call,commit,or,rollback,more,than,once,per,transaction,default,transaction,status,def,status,default,transaction,status,status,process,rollback,def,status,false
AbstractPlatformTransactionManager -> @Override 	public final void rollback(TransactionStatus status) throws TransactionException;1506842603;This implementation of rollback handles participating in existing_transactions. Delegates to {@code doRollback} and_{@code doSetRollbackOnly}._@see #doRollback_@see #doSetRollbackOnly;@Override_	public final void rollback(TransactionStatus status) throws TransactionException {_		if (status.isCompleted()) {_			throw new IllegalTransactionStateException(_					"Transaction is already completed - do not call commit or rollback more than once per transaction")__		}__		DefaultTransactionStatus defStatus = (DefaultTransactionStatus) status__		processRollback(defStatus, false)__	};this,implementation,of,rollback,handles,participating,in,existing,transactions,delegates,to,code,do,rollback,and,code,do,set,rollback,only,see,do,rollback,see,do,set,rollback,only;override,public,final,void,rollback,transaction,status,status,throws,transaction,exception,if,status,is,completed,throw,new,illegal,transaction,state,exception,transaction,is,already,completed,do,not,call,commit,or,rollback,more,than,once,per,transaction,default,transaction,status,def,status,default,transaction,status,status,process,rollback,def,status,false
AbstractPlatformTransactionManager -> @Override 	public final void rollback(TransactionStatus status) throws TransactionException;1517867503;This implementation of rollback handles participating in existing_transactions. Delegates to {@code doRollback} and_{@code doSetRollbackOnly}._@see #doRollback_@see #doSetRollbackOnly;@Override_	public final void rollback(TransactionStatus status) throws TransactionException {_		if (status.isCompleted()) {_			throw new IllegalTransactionStateException(_					"Transaction is already completed - do not call commit or rollback more than once per transaction")__		}__		DefaultTransactionStatus defStatus = (DefaultTransactionStatus) status__		processRollback(defStatus, false)__	};this,implementation,of,rollback,handles,participating,in,existing,transactions,delegates,to,code,do,rollback,and,code,do,set,rollback,only,see,do,rollback,see,do,set,rollback,only;override,public,final,void,rollback,transaction,status,status,throws,transaction,exception,if,status,is,completed,throw,new,illegal,transaction,state,exception,transaction,is,already,completed,do,not,call,commit,or,rollback,more,than,once,per,transaction,default,transaction,status,def,status,default,transaction,status,status,process,rollback,def,status,false
AbstractPlatformTransactionManager -> @Override 	public final void rollback(TransactionStatus status) throws TransactionException;1530174524;This implementation of rollback handles participating in existing_transactions. Delegates to {@code doRollback} and_{@code doSetRollbackOnly}._@see #doRollback_@see #doSetRollbackOnly;@Override_	public final void rollback(TransactionStatus status) throws TransactionException {_		if (status.isCompleted()) {_			throw new IllegalTransactionStateException(_					"Transaction is already completed - do not call commit or rollback more than once per transaction")__		}__		DefaultTransactionStatus defStatus = (DefaultTransactionStatus) status__		processRollback(defStatus, false)__	};this,implementation,of,rollback,handles,participating,in,existing,transactions,delegates,to,code,do,rollback,and,code,do,set,rollback,only,see,do,rollback,see,do,set,rollback,only;override,public,final,void,rollback,transaction,status,status,throws,transaction,exception,if,status,is,completed,throw,new,illegal,transaction,state,exception,transaction,is,already,completed,do,not,call,commit,or,rollback,more,than,once,per,transaction,default,transaction,status,def,status,default,transaction,status,status,process,rollback,def,status,false
AbstractPlatformTransactionManager -> @Override 	public final void rollback(TransactionStatus status) throws TransactionException;1530174524;This implementation of rollback handles participating in existing_transactions. Delegates to {@code doRollback} and_{@code doSetRollbackOnly}._@see #doRollback_@see #doSetRollbackOnly;@Override_	public final void rollback(TransactionStatus status) throws TransactionException {_		if (status.isCompleted()) {_			throw new IllegalTransactionStateException(_					"Transaction is already completed - do not call commit or rollback more than once per transaction")__		}__		DefaultTransactionStatus defStatus = (DefaultTransactionStatus) status__		processRollback(defStatus, false)__	};this,implementation,of,rollback,handles,participating,in,existing,transactions,delegates,to,code,do,rollback,and,code,do,set,rollback,only,see,do,rollback,see,do,set,rollback,only;override,public,final,void,rollback,transaction,status,status,throws,transaction,exception,if,status,is,completed,throw,new,illegal,transaction,state,exception,transaction,is,already,completed,do,not,call,commit,or,rollback,more,than,once,per,transaction,default,transaction,status,def,status,default,transaction,status,status,process,rollback,def,status,false
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1328020251;Return whether existing transactions should be validated before participating_in them.;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1356735495;Return whether existing transactions should be validated before participating_in them.;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1357119239;Return whether existing transactions should be validated before participating_in them.;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1368482696;Return whether existing transactions should be validated before participating_in them.;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1407763209;Return whether existing transactions should be validated before participating_in them.;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1413473170;Return whether existing transactions should be validated before participating_in them.;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1425660345;Return whether existing transactions should be validated before participating_in them.;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1437567612;Return whether existing transactions should be validated before participating_in them.;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1486062666;Return whether existing transactions should be validated before participating_in them.;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1486719573;Return whether existing transactions should be validated before participating_in them.;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1487371244;Return whether existing transactions should be validated before participating_in them.;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1495868221;Return whether existing transactions should be validated before participating_in them.;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1496242568;Return whether existing transactions should be validated before participating_in them.;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1496259743;Return whether existing transactions should be validated before participating_in them.;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1496837955;Return whether existing transactions should be validated before participating_in them.;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1498780456;Return whether existing transactions should be validated before participating_in them.;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1506842603;Return whether existing transactions should be validated before participating_in them.;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1517867503;Return whether existing transactions should be validated before participating_in them._@since 2.5.1;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them,since,2,5,1;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1530174524;Return whether existing transactions should be validated before participating_in them._@since 2.5.1;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them,since,2,5,1;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> public final boolean isValidateExistingTransaction();1530174524;Return whether existing transactions should be validated before participating_in them._@since 2.5.1;public final boolean isValidateExistingTransaction() {_		return this.validateExistingTransaction__	};return,whether,existing,transactions,should,be,validated,before,participating,in,them,since,2,5,1;public,final,boolean,is,validate,existing,transaction,return,this,validate,existing,transaction
AbstractPlatformTransactionManager -> private void processCommit(DefaultTransactionStatus status) throws TransactionException;1328020251;Process an actual commit._Rollback-only flags have already been checked and applied._@param status object representing the transaction_@throws TransactionException in case of commit failure;private void processCommit(DefaultTransactionStatus status) throws TransactionException {_		try {_			boolean beforeCompletionInvoked = false__			try {_				prepareForCommit(status)__				triggerBeforeCommit(status)__				triggerBeforeCompletion(status)__				beforeCompletionInvoked = true__				boolean globalRollbackOnly = false__				if (status.isNewTransaction() || isFailEarlyOnGlobalRollbackOnly()) {_					globalRollbackOnly = status.isGlobalRollbackOnly()__				}_				if (status.hasSavepoint()) {_					if (status.isDebug()) {_						logger.debug("Releasing transaction savepoint")__					}_					status.releaseHeldSavepoint()__				}_				else if (status.isNewTransaction()) {_					if (status.isDebug()) {_						logger.debug("Initiating transaction commit")__					}_					doCommit(status)__				}_				_				_				if (globalRollbackOnly) {_					throw new UnexpectedRollbackException(_							"Transaction silently rolled back because it has been marked as rollback-only")__				}_			}_			catch (UnexpectedRollbackException ex) {_				_				triggerAfterCompletion(status, TransactionSynchronization.STATUS_ROLLED_BACK)__				throw ex__			}_			catch (TransactionException ex) {_				_				if (isRollbackOnCommitFailure()) {_					doRollbackOnCommitException(status, ex)__				}_				else {_					triggerAfterCompletion(status, TransactionSynchronization.STATUS_UNKNOWN)__				}_				throw ex__			}_			catch (RuntimeException ex) {_				if (!beforeCompletionInvoked) {_					triggerBeforeCompletion(status)__				}_				doRollbackOnCommitException(status, ex)__				throw ex__			}_			catch (Error err) {_				if (!beforeCompletionInvoked) {_					triggerBeforeCompletion(status)__				}_				doRollbackOnCommitException(status, err)__				throw err__			}__			_			_			try {_				triggerAfterCommit(status)__			}_			finally {_				triggerAfterCompletion(status, TransactionSynchronization.STATUS_COMMITTED)__			}__		}_		finally {_			cleanupAfterCompletion(status)__		}_	};process,an,actual,commit,rollback,only,flags,have,already,been,checked,and,applied,param,status,object,representing,the,transaction,throws,transaction,exception,in,case,of,commit,failure;private,void,process,commit,default,transaction,status,status,throws,transaction,exception,try,boolean,before,completion,invoked,false,try,prepare,for,commit,status,trigger,before,commit,status,trigger,before,completion,status,before,completion,invoked,true,boolean,global,rollback,only,false,if,status,is,new,transaction,is,fail,early,on,global,rollback,only,global,rollback,only,status,is,global,rollback,only,if,status,has,savepoint,if,status,is,debug,logger,debug,releasing,transaction,savepoint,status,release,held,savepoint,else,if,status,is,new,transaction,if,status,is,debug,logger,debug,initiating,transaction,commit,do,commit,status,if,global,rollback,only,throw,new,unexpected,rollback,exception,transaction,silently,rolled,back,because,it,has,been,marked,as,rollback,only,catch,unexpected,rollback,exception,ex,trigger,after,completion,status,transaction,synchronization,throw,ex,catch,transaction,exception,ex,if,is,rollback,on,commit,failure,do,rollback,on,commit,exception,status,ex,else,trigger,after,completion,status,transaction,synchronization,throw,ex,catch,runtime,exception,ex,if,before,completion,invoked,trigger,before,completion,status,do,rollback,on,commit,exception,status,ex,throw,ex,catch,error,err,if,before,completion,invoked,trigger,before,completion,status,do,rollback,on,commit,exception,status,err,throw,err,try,trigger,after,commit,status,finally,trigger,after,completion,status,transaction,synchronization,finally,cleanup,after,completion,status
