# id;timestamp;commentText;codeText;commentWords;codeWords
SqlOutParameter -> public SqlReturnType getSqlReturnType();1328020251;Return the custom return type, if any.;public SqlReturnType getSqlReturnType() {_		return this.sqlReturnType__	};return,the,custom,return,type,if,any;public,sql,return,type,get,sql,return,type,return,this,sql,return,type
SqlOutParameter -> public SqlOutParameter(String name, int sqlType, String typeName);1385412762;Create a new SqlOutParameter._@param name name of the parameter, as used in input and output maps_@param sqlType SQL type of the parameter according to java.sql.Types_@param typeName the type name of the parameter (optional);public SqlOutParameter(String name, int sqlType, String typeName) {_		super(name, sqlType, typeName)__	};create,a,new,sql,out,parameter,param,name,name,of,the,parameter,as,used,in,input,and,output,maps,param,sql,type,sql,type,of,the,parameter,according,to,java,sql,types,param,type,name,the,type,name,of,the,parameter,optional;public,sql,out,parameter,string,name,int,sql,type,string,type,name,super,name,sql,type,type,name
SqlOutParameter -> public SqlOutParameter(String name, int sqlType, String typeName);1495868221;Create a new SqlOutParameter._@param name name of the parameter, as used in input and output maps_@param sqlType SQL type of the parameter according to java.sql.Types_@param typeName the type name of the parameter (optional);public SqlOutParameter(String name, int sqlType, String typeName) {_		super(name, sqlType, typeName)__	};create,a,new,sql,out,parameter,param,name,name,of,the,parameter,as,used,in,input,and,output,maps,param,sql,type,sql,type,of,the,parameter,according,to,java,sql,types,param,type,name,the,type,name,of,the,parameter,optional;public,sql,out,parameter,string,name,int,sql,type,string,type,name,super,name,sql,type,type,name
SqlOutParameter -> public SqlOutParameter(String name, int sqlType, int scale);1328020251;Create a new SqlOutParameter._@param name name of the parameter, as used in input and output maps_@param sqlType SQL type of the parameter according to java.sql.Types_@param scale the number of digits after the decimal point_(for DECIMAL and NUMERIC types);public SqlOutParameter(String name, int sqlType, int scale) {_		super(name, sqlType, scale)__	};create,a,new,sql,out,parameter,param,name,name,of,the,parameter,as,used,in,input,and,output,maps,param,sql,type,sql,type,of,the,parameter,according,to,java,sql,types,param,scale,the,number,of,digits,after,the,decimal,point,for,decimal,and,numeric,types;public,sql,out,parameter,string,name,int,sql,type,int,scale,super,name,sql,type,scale
SqlOutParameter -> public SqlOutParameter(String name, int sqlType, int scale);1385412762;Create a new SqlOutParameter._@param name name of the parameter, as used in input and output maps_@param sqlType SQL type of the parameter according to java.sql.Types_@param scale the number of digits after the decimal point_(for DECIMAL and NUMERIC types);public SqlOutParameter(String name, int sqlType, int scale) {_		super(name, sqlType, scale)__	};create,a,new,sql,out,parameter,param,name,name,of,the,parameter,as,used,in,input,and,output,maps,param,sql,type,sql,type,of,the,parameter,according,to,java,sql,types,param,scale,the,number,of,digits,after,the,decimal,point,for,decimal,and,numeric,types;public,sql,out,parameter,string,name,int,sql,type,int,scale,super,name,sql,type,scale
SqlOutParameter -> public SqlOutParameter(String name, int sqlType, int scale);1495868221;Create a new SqlOutParameter._@param name name of the parameter, as used in input and output maps_@param sqlType SQL type of the parameter according to java.sql.Types_@param scale the number of digits after the decimal point_(for DECIMAL and NUMERIC types);public SqlOutParameter(String name, int sqlType, int scale) {_		super(name, sqlType, scale)__	};create,a,new,sql,out,parameter,param,name,name,of,the,parameter,as,used,in,input,and,output,maps,param,sql,type,sql,type,of,the,parameter,according,to,java,sql,types,param,scale,the,number,of,digits,after,the,decimal,point,for,decimal,and,numeric,types;public,sql,out,parameter,string,name,int,sql,type,int,scale,super,name,sql,type,scale
SqlOutParameter -> public SqlOutParameter(String name, int sqlType, int scale);1496837955;Create a new SqlOutParameter._@param name name of the parameter, as used in input and output maps_@param sqlType SQL type of the parameter according to java.sql.Types_@param scale the number of digits after the decimal point_(for DECIMAL and NUMERIC types);public SqlOutParameter(String name, int sqlType, int scale) {_		super(name, sqlType, scale)__	};create,a,new,sql,out,parameter,param,name,name,of,the,parameter,as,used,in,input,and,output,maps,param,sql,type,sql,type,of,the,parameter,according,to,java,sql,types,param,scale,the,number,of,digits,after,the,decimal,point,for,decimal,and,numeric,types;public,sql,out,parameter,string,name,int,sql,type,int,scale,super,name,sql,type,scale
SqlOutParameter -> public SqlOutParameter(String name, int sqlType, int scale);1498780456;Create a new SqlOutParameter._@param name name of the parameter, as used in input and output maps_@param sqlType SQL type of the parameter according to java.sql.Types_@param scale the number of digits after the decimal point_(for DECIMAL and NUMERIC types);public SqlOutParameter(String name, int sqlType, int scale) {_		super(name, sqlType, scale)__	};create,a,new,sql,out,parameter,param,name,name,of,the,parameter,as,used,in,input,and,output,maps,param,sql,type,sql,type,of,the,parameter,according,to,java,sql,types,param,scale,the,number,of,digits,after,the,decimal,point,for,decimal,and,numeric,types;public,sql,out,parameter,string,name,int,sql,type,int,scale,super,name,sql,type,scale
SqlOutParameter -> public SqlOutParameter(String name, int sqlType, int scale);1521457504;Create a new SqlOutParameter._@param name name of the parameter, as used in input and output maps_@param sqlType SQL type of the parameter according to java.sql.Types_@param scale the number of digits after the decimal point_(for DECIMAL and NUMERIC types);public SqlOutParameter(String name, int sqlType, int scale) {_		super(name, sqlType, scale)__	};create,a,new,sql,out,parameter,param,name,name,of,the,parameter,as,used,in,input,and,output,maps,param,sql,type,sql,type,of,the,parameter,according,to,java,sql,types,param,scale,the,number,of,digits,after,the,decimal,point,for,decimal,and,numeric,types;public,sql,out,parameter,string,name,int,sql,type,int,scale,super,name,sql,type,scale
SqlOutParameter -> public SqlOutParameter(String name, int sqlType, int scale);1530174524;Create a new SqlOutParameter._@param name name of the parameter, as used in input and output maps_@param sqlType the parameter SQL type according to {@code java.sql.Types}_@param scale the number of digits after the decimal point_(for DECIMAL and NUMERIC types);public SqlOutParameter(String name, int sqlType, int scale) {_		super(name, sqlType, scale)__	};create,a,new,sql,out,parameter,param,name,name,of,the,parameter,as,used,in,input,and,output,maps,param,sql,type,the,parameter,sql,type,according,to,code,java,sql,types,param,scale,the,number,of,digits,after,the,decimal,point,for,decimal,and,numeric,types;public,sql,out,parameter,string,name,int,sql,type,int,scale,super,name,sql,type,scale
SqlOutParameter -> @Nullable 	public SqlReturnType getSqlReturnType();1495868221;Return the custom return type, if any.;@Nullable_	public SqlReturnType getSqlReturnType() {_		return this.sqlReturnType__	};return,the,custom,return,type,if,any;nullable,public,sql,return,type,get,sql,return,type,return,this,sql,return,type
SqlOutParameter -> @Nullable 	public SqlReturnType getSqlReturnType();1496837955;Return the custom return type, if any.;@Nullable_	public SqlReturnType getSqlReturnType() {_		return this.sqlReturnType__	};return,the,custom,return,type,if,any;nullable,public,sql,return,type,get,sql,return,type,return,this,sql,return,type
SqlOutParameter -> @Nullable 	public SqlReturnType getSqlReturnType();1498780456;Return the custom return type, if any.;@Nullable_	public SqlReturnType getSqlReturnType() {_		return this.sqlReturnType__	};return,the,custom,return,type,if,any;nullable,public,sql,return,type,get,sql,return,type,return,this,sql,return,type
SqlOutParameter -> @Nullable 	public SqlReturnType getSqlReturnType();1521457504;Return the custom return type, if any.;@Nullable_	public SqlReturnType getSqlReturnType() {_		return this.sqlReturnType__	};return,the,custom,return,type,if,any;nullable,public,sql,return,type,get,sql,return,type,return,this,sql,return,type
SqlOutParameter -> @Nullable 	public SqlReturnType getSqlReturnType();1530174524;Return the custom return type, if any.;@Nullable_	public SqlReturnType getSqlReturnType() {_		return this.sqlReturnType__	};return,the,custom,return,type,if,any;nullable,public,sql,return,type,get,sql,return,type,return,this,sql,return,type
