# id;timestamp;commentText;codeText;commentWords;codeWords
ReplicationOperation -> Primary -> long localCheckpoint()_;1524684173;Returns the local checkpoint on the primary shard.__@return the local checkpoint;long localCheckpoint()_;returns,the,local,checkpoint,on,the,primary,shard,return,the,local,checkpoint;long,local,checkpoint
ReplicationOperation -> Replicas -> void markShardCopyAsStaleIfNeeded(ShardId shardId, String allocationId, Runnable onSuccess,                                           Consumer<Exception> onPrimaryDemoted, Consumer<Exception> onIgnoredFailure)_;1524684173;Marks shard copy as stale if needed, removing its allocation id from_the set of in-sync allocation ids. Whether marking as stale is needed_is left up to the implementation.__@param shardId          shard id_@param allocationId     allocation id to remove from the set of in-sync allocation ids_@param onSuccess        a callback to call when the allocation id has been successfully removed from the in-sync set._@param onPrimaryDemoted a callback to call when the request failed because the current primary was already demoted_by the master._@param onIgnoredFailure a callback to call when the request failed, but the failure can be safely ignored.;void markShardCopyAsStaleIfNeeded(ShardId shardId, String allocationId, Runnable onSuccess,_                                          Consumer<Exception> onPrimaryDemoted, Consumer<Exception> onIgnoredFailure)_;marks,shard,copy,as,stale,if,needed,removing,its,allocation,id,from,the,set,of,in,sync,allocation,ids,whether,marking,as,stale,is,needed,is,left,up,to,the,implementation,param,shard,id,shard,id,param,allocation,id,allocation,id,to,remove,from,the,set,of,in,sync,allocation,ids,param,on,success,a,callback,to,call,when,the,allocation,id,has,been,successfully,removed,from,the,in,sync,set,param,on,primary,demoted,a,callback,to,call,when,the,request,failed,because,the,current,primary,was,already,demoted,by,the,master,param,on,ignored,failure,a,callback,to,call,when,the,request,failed,but,the,failure,can,be,safely,ignored;void,mark,shard,copy,as,stale,if,needed,shard,id,shard,id,string,allocation,id,runnable,on,success,consumer,exception,on,primary,demoted,consumer,exception,on,ignored,failure
ReplicationOperation -> Replicas -> void markShardCopyAsStaleIfNeeded(ShardId shardId, String allocationId, Runnable onSuccess,                                           Consumer<Exception> onPrimaryDemoted, Consumer<Exception> onIgnoredFailure)_;1528762805;Marks shard copy as stale if needed, removing its allocation id from_the set of in-sync allocation ids. Whether marking as stale is needed_is left up to the implementation.__@param shardId          shard id_@param allocationId     allocation id to remove from the set of in-sync allocation ids_@param onSuccess        a callback to call when the allocation id has been successfully removed from the in-sync set._@param onPrimaryDemoted a callback to call when the request failed because the current primary was already demoted_by the master._@param onIgnoredFailure a callback to call when the request failed, but the failure can be safely ignored.;void markShardCopyAsStaleIfNeeded(ShardId shardId, String allocationId, Runnable onSuccess,_                                          Consumer<Exception> onPrimaryDemoted, Consumer<Exception> onIgnoredFailure)_;marks,shard,copy,as,stale,if,needed,removing,its,allocation,id,from,the,set,of,in,sync,allocation,ids,whether,marking,as,stale,is,needed,is,left,up,to,the,implementation,param,shard,id,shard,id,param,allocation,id,allocation,id,to,remove,from,the,set,of,in,sync,allocation,ids,param,on,success,a,callback,to,call,when,the,allocation,id,has,been,successfully,removed,from,the,in,sync,set,param,on,primary,demoted,a,callback,to,call,when,the,request,failed,because,the,current,primary,was,already,demoted,by,the,master,param,on,ignored,failure,a,callback,to,call,when,the,request,failed,but,the,failure,can,be,safely,ignored;void,mark,shard,copy,as,stale,if,needed,shard,id,shard,id,string,allocation,id,runnable,on,success,consumer,exception,on,primary,demoted,consumer,exception,on,ignored,failure
ReplicationOperation -> Replicas -> void markShardCopyAsStaleIfNeeded(ShardId shardId, String allocationId, Runnable onSuccess,                                           Consumer<Exception> onPrimaryDemoted, Consumer<Exception> onIgnoredFailure)_;1538067637;Marks shard copy as stale if needed, removing its allocation id from_the set of in-sync allocation ids. Whether marking as stale is needed_is left up to the implementation.__@param shardId          shard id_@param allocationId     allocation id to remove from the set of in-sync allocation ids_@param onSuccess        a callback to call when the allocation id has been successfully removed from the in-sync set._@param onPrimaryDemoted a callback to call when the request failed because the current primary was already demoted_by the master._@param onIgnoredFailure a callback to call when the request failed, but the failure can be safely ignored.;void markShardCopyAsStaleIfNeeded(ShardId shardId, String allocationId, Runnable onSuccess,_                                          Consumer<Exception> onPrimaryDemoted, Consumer<Exception> onIgnoredFailure)_;marks,shard,copy,as,stale,if,needed,removing,its,allocation,id,from,the,set,of,in,sync,allocation,ids,whether,marking,as,stale,is,needed,is,left,up,to,the,implementation,param,shard,id,shard,id,param,allocation,id,allocation,id,to,remove,from,the,set,of,in,sync,allocation,ids,param,on,success,a,callback,to,call,when,the,allocation,id,has,been,successfully,removed,from,the,in,sync,set,param,on,primary,demoted,a,callback,to,call,when,the,request,failed,because,the,current,primary,was,already,demoted,by,the,master,param,on,ignored,failure,a,callback,to,call,when,the,request,failed,but,the,failure,can,be,safely,ignored;void,mark,shard,copy,as,stale,if,needed,shard,id,shard,id,string,allocation,id,runnable,on,success,consumer,exception,on,primary,demoted,consumer,exception,on,ignored,failure
ReplicationOperation -> Replicas -> void markShardCopyAsStaleIfNeeded(ShardId shardId, String allocationId, Runnable onSuccess,                                           Consumer<Exception> onPrimaryDemoted, Consumer<Exception> onIgnoredFailure)_;1550598745;Marks shard copy as stale if needed, removing its allocation id from_the set of in-sync allocation ids. Whether marking as stale is needed_is left up to the implementation.__@param shardId          shard id_@param allocationId     allocation id to remove from the set of in-sync allocation ids_@param onSuccess        a callback to call when the allocation id has been successfully removed from the in-sync set._@param onPrimaryDemoted a callback to call when the request failed because the current primary was already demoted_by the master._@param onIgnoredFailure a callback to call when the request failed, but the failure can be safely ignored.;void markShardCopyAsStaleIfNeeded(ShardId shardId, String allocationId, Runnable onSuccess,_                                          Consumer<Exception> onPrimaryDemoted, Consumer<Exception> onIgnoredFailure)_;marks,shard,copy,as,stale,if,needed,removing,its,allocation,id,from,the,set,of,in,sync,allocation,ids,whether,marking,as,stale,is,needed,is,left,up,to,the,implementation,param,shard,id,shard,id,param,allocation,id,allocation,id,to,remove,from,the,set,of,in,sync,allocation,ids,param,on,success,a,callback,to,call,when,the,allocation,id,has,been,successfully,removed,from,the,in,sync,set,param,on,primary,demoted,a,callback,to,call,when,the,request,failed,because,the,current,primary,was,already,demoted,by,the,master,param,on,ignored,failure,a,callback,to,call,when,the,request,failed,but,the,failure,can,be,safely,ignored;void,mark,shard,copy,as,stale,if,needed,shard,id,shard,id,string,allocation,id,runnable,on,success,consumer,exception,on,primary,demoted,consumer,exception,on,ignored,failure
ReplicationOperation -> Replicas -> void performOn(ShardRouting replica, RequestT replicaRequest, long globalCheckpoint, ActionListener<ReplicaResponse> listener)_;1524684173;Performs the specified request on the specified replica.__@param replica          the shard this request should be executed on_@param replicaRequest   the operation to perform_@param globalCheckpoint the global checkpoint on the primary_@param listener         callback for handling the response or failure;void performOn(ShardRouting replica, RequestT replicaRequest, long globalCheckpoint, ActionListener<ReplicaResponse> listener)_;performs,the,specified,request,on,the,specified,replica,param,replica,the,shard,this,request,should,be,executed,on,param,replica,request,the,operation,to,perform,param,global,checkpoint,the,global,checkpoint,on,the,primary,param,listener,callback,for,handling,the,response,or,failure;void,perform,on,shard,routing,replica,request,t,replica,request,long,global,checkpoint,action,listener,replica,response,listener
ReplicationOperation -> Replicas -> void performOn(ShardRouting replica, RequestT replicaRequest, long globalCheckpoint, ActionListener<ReplicaResponse> listener)_;1528762805;Performs the specified request on the specified replica.__@param replica          the shard this request should be executed on_@param replicaRequest   the operation to perform_@param globalCheckpoint the global checkpoint on the primary_@param listener         callback for handling the response or failure;void performOn(ShardRouting replica, RequestT replicaRequest, long globalCheckpoint, ActionListener<ReplicaResponse> listener)_;performs,the,specified,request,on,the,specified,replica,param,replica,the,shard,this,request,should,be,executed,on,param,replica,request,the,operation,to,perform,param,global,checkpoint,the,global,checkpoint,on,the,primary,param,listener,callback,for,handling,the,response,or,failure;void,perform,on,shard,routing,replica,request,t,replica,request,long,global,checkpoint,action,listener,replica,response,listener
ReplicationOperation -> Primary -> void updateLocalCheckpointForShard(String allocationId, long checkpoint)_;1524684173;Notifies the primary of a local checkpoint for the given allocation.__Note: The primary will use this information to advance the global checkpoint if possible.__@param allocationId allocation ID of the shard corresponding to the supplied local checkpoint_@param checkpoint the *local* checkpoint for the shard;void updateLocalCheckpointForShard(String allocationId, long checkpoint)_;notifies,the,primary,of,a,local,checkpoint,for,the,given,allocation,note,the,primary,will,use,this,information,to,advance,the,global,checkpoint,if,possible,param,allocation,id,allocation,id,of,the,shard,corresponding,to,the,supplied,local,checkpoint,param,checkpoint,the,local,checkpoint,for,the,shard;void,update,local,checkpoint,for,shard,string,allocation,id,long,checkpoint
ReplicationOperation -> Primary -> void updateLocalCheckpointForShard(String allocationId, long checkpoint)_;1528762805;Notifies the primary of a local checkpoint for the given allocation.__Note: The primary will use this information to advance the global checkpoint if possible.__@param allocationId allocation ID of the shard corresponding to the supplied local checkpoint_@param checkpoint the *local* checkpoint for the shard;void updateLocalCheckpointForShard(String allocationId, long checkpoint)_;notifies,the,primary,of,a,local,checkpoint,for,the,given,allocation,note,the,primary,will,use,this,information,to,advance,the,global,checkpoint,if,possible,param,allocation,id,allocation,id,of,the,shard,corresponding,to,the,supplied,local,checkpoint,param,checkpoint,the,local,checkpoint,for,the,shard;void,update,local,checkpoint,for,shard,string,allocation,id,long,checkpoint
ReplicationOperation -> Primary -> void updateLocalCheckpointForShard(String allocationId, long checkpoint)_;1538067637;Notifies the primary of a local checkpoint for the given allocation.__Note: The primary will use this information to advance the global checkpoint if possible.__@param allocationId allocation ID of the shard corresponding to the supplied local checkpoint_@param checkpoint the *local* checkpoint for the shard;void updateLocalCheckpointForShard(String allocationId, long checkpoint)_;notifies,the,primary,of,a,local,checkpoint,for,the,given,allocation,note,the,primary,will,use,this,information,to,advance,the,global,checkpoint,if,possible,param,allocation,id,allocation,id,of,the,shard,corresponding,to,the,supplied,local,checkpoint,param,checkpoint,the,local,checkpoint,for,the,shard;void,update,local,checkpoint,for,shard,string,allocation,id,long,checkpoint
ReplicationOperation -> Primary -> void updateLocalCheckpointForShard(String allocationId, long checkpoint)_;1550598745;Notifies the primary of a local checkpoint for the given allocation.__Note: The primary will use this information to advance the global checkpoint if possible.__@param allocationId allocation ID of the shard corresponding to the supplied local checkpoint_@param checkpoint the *local* checkpoint for the shard;void updateLocalCheckpointForShard(String allocationId, long checkpoint)_;notifies,the,primary,of,a,local,checkpoint,for,the,given,allocation,note,the,primary,will,use,this,information,to,advance,the,global,checkpoint,if,possible,param,allocation,id,allocation,id,of,the,shard,corresponding,to,the,supplied,local,checkpoint,param,checkpoint,the,local,checkpoint,for,the,shard;void,update,local,checkpoint,for,shard,string,allocation,id,long,checkpoint
ReplicationOperation -> Primary -> void updateGlobalCheckpointForShard(String allocationId, long globalCheckpoint)_;1524684173;Update the local knowledge of the global checkpoint for the specified allocation ID.__@param allocationId     the allocation ID to update the global checkpoint for_@param globalCheckpoint the global checkpoint;void updateGlobalCheckpointForShard(String allocationId, long globalCheckpoint)_;update,the,local,knowledge,of,the,global,checkpoint,for,the,specified,allocation,id,param,allocation,id,the,allocation,id,to,update,the,global,checkpoint,for,param,global,checkpoint,the,global,checkpoint;void,update,global,checkpoint,for,shard,string,allocation,id,long,global,checkpoint
ReplicationOperation -> Primary -> void updateGlobalCheckpointForShard(String allocationId, long globalCheckpoint)_;1528762805;Update the local knowledge of the global checkpoint for the specified allocation ID.__@param allocationId     the allocation ID to update the global checkpoint for_@param globalCheckpoint the global checkpoint;void updateGlobalCheckpointForShard(String allocationId, long globalCheckpoint)_;update,the,local,knowledge,of,the,global,checkpoint,for,the,specified,allocation,id,param,allocation,id,the,allocation,id,to,update,the,global,checkpoint,for,param,global,checkpoint,the,global,checkpoint;void,update,global,checkpoint,for,shard,string,allocation,id,long,global,checkpoint
ReplicationOperation -> Primary -> void updateGlobalCheckpointForShard(String allocationId, long globalCheckpoint)_;1538067637;Update the local knowledge of the global checkpoint for the specified allocation ID.__@param allocationId     the allocation ID to update the global checkpoint for_@param globalCheckpoint the global checkpoint;void updateGlobalCheckpointForShard(String allocationId, long globalCheckpoint)_;update,the,local,knowledge,of,the,global,checkpoint,for,the,specified,allocation,id,param,allocation,id,the,allocation,id,to,update,the,global,checkpoint,for,param,global,checkpoint,the,global,checkpoint;void,update,global,checkpoint,for,shard,string,allocation,id,long,global,checkpoint
ReplicationOperation -> Primary -> void updateGlobalCheckpointForShard(String allocationId, long globalCheckpoint)_;1550598745;Update the local knowledge of the global checkpoint for the specified allocation ID.__@param allocationId     the allocation ID to update the global checkpoint for_@param globalCheckpoint the global checkpoint;void updateGlobalCheckpointForShard(String allocationId, long globalCheckpoint)_;update,the,local,knowledge,of,the,global,checkpoint,for,the,specified,allocation,id,param,allocation,id,the,allocation,id,to,update,the,global,checkpoint,for,param,global,checkpoint,the,global,checkpoint;void,update,global,checkpoint,for,shard,string,allocation,id,long,global,checkpoint
ReplicationOperation -> Primary -> long maxSeqNoOfUpdatesOrDeletes()_;1538067637;Returns the maximum seq_no of updates (index operations overwrite Lucene) or deletes on the primary._This value must be captured after the execution of a replication request on the primary is completed.;long maxSeqNoOfUpdatesOrDeletes()_;returns,the,maximum,of,updates,index,operations,overwrite,lucene,or,deletes,on,the,primary,this,value,must,be,captured,after,the,execution,of,a,replication,request,on,the,primary,is,completed;long,max,seq,no,of,updates,or,deletes
ReplicationOperation -> Primary -> long maxSeqNoOfUpdatesOrDeletes()_;1550598745;Returns the maximum seq_no of updates (index operations overwrite Lucene) or deletes on the primary._This value must be captured after the execution of a replication request on the primary is completed.;long maxSeqNoOfUpdatesOrDeletes()_;returns,the,maximum,of,updates,index,operations,overwrite,lucene,or,deletes,on,the,primary,this,value,must,be,captured,after,the,execution,of,a,replication,request,on,the,primary,is,completed;long,max,seq,no,of,updates,or,deletes
