# id;timestamp;commentText;codeText;commentWords;codeWords
CollectionUtils -> public static boolean contains(Enumeration enumeration, Object element);1328020251;Check whether the given Enumeration contains the given element._@param enumeration the Enumeration to check_@param element the element to look for_@return <code>true</code> if found, <code>false</code> else;public static boolean contains(Enumeration enumeration, Object element) {_		if (enumeration != null) {_			while (enumeration.hasMoreElements()) {_				Object candidate = enumeration.nextElement()__				if (ObjectUtils.nullSafeEquals(candidate, element)) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,enumeration,contains,the,given,element,param,enumeration,the,enumeration,to,check,param,element,the,element,to,look,for,return,code,true,code,if,found,code,false,code,else;public,static,boolean,contains,enumeration,enumeration,object,element,if,enumeration,null,while,enumeration,has,more,elements,object,candidate,enumeration,next,element,if,object,utils,null,safe,equals,candidate,element,return,true,return,false
CollectionUtils -> public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array);1485782330;Marshal the elements from the given enumeration into an array of the given type._Enumeration elements must be assignable to the type of the given array. The array_returned will be a different instance than the array given.;public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array) {_		ArrayList<A> elements = new ArrayList<>()__		while (enumeration.hasMoreElements()) {_			elements.add(enumeration.nextElement())__		}_		return elements.toArray(array)__	};marshal,the,elements,from,the,given,enumeration,into,an,array,of,the,given,type,enumeration,elements,must,be,assignable,to,the,type,of,the,given,array,the,array,returned,will,be,a,different,instance,than,the,array,given;public,static,a,e,extends,a,a,to,array,enumeration,e,enumeration,a,array,array,list,a,elements,new,array,list,while,enumeration,has,more,elements,elements,add,enumeration,next,element,return,elements,to,array,array
CollectionUtils -> public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array);1493370460;Marshal the elements from the given enumeration into an array of the given type._Enumeration elements must be assignable to the type of the given array. The array_returned will be a different instance than the array given.;public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array) {_		ArrayList<A> elements = new ArrayList<>()__		while (enumeration.hasMoreElements()) {_			elements.add(enumeration.nextElement())__		}_		return elements.toArray(array)__	};marshal,the,elements,from,the,given,enumeration,into,an,array,of,the,given,type,enumeration,elements,must,be,assignable,to,the,type,of,the,given,array,the,array,returned,will,be,a,different,instance,than,the,array,given;public,static,a,e,extends,a,a,to,array,enumeration,e,enumeration,a,array,array,list,a,elements,new,array,list,while,enumeration,has,more,elements,elements,add,enumeration,next,element,return,elements,to,array,array
CollectionUtils -> public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array);1495868221;Marshal the elements from the given enumeration into an array of the given type._Enumeration elements must be assignable to the type of the given array. The array_returned will be a different instance than the array given.;public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array) {_		ArrayList<A> elements = new ArrayList<>()__		while (enumeration.hasMoreElements()) {_			elements.add(enumeration.nextElement())__		}_		return elements.toArray(array)__	};marshal,the,elements,from,the,given,enumeration,into,an,array,of,the,given,type,enumeration,elements,must,be,assignable,to,the,type,of,the,given,array,the,array,returned,will,be,a,different,instance,than,the,array,given;public,static,a,e,extends,a,a,to,array,enumeration,e,enumeration,a,array,array,list,a,elements,new,array,list,while,enumeration,has,more,elements,elements,add,enumeration,next,element,return,elements,to,array,array
CollectionUtils -> public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array);1496259743;Marshal the elements from the given enumeration into an array of the given type._Enumeration elements must be assignable to the type of the given array. The array_returned will be a different instance than the array given.;public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array) {_		ArrayList<A> elements = new ArrayList<>()__		while (enumeration.hasMoreElements()) {_			elements.add(enumeration.nextElement())__		}_		return elements.toArray(array)__	};marshal,the,elements,from,the,given,enumeration,into,an,array,of,the,given,type,enumeration,elements,must,be,assignable,to,the,type,of,the,given,array,the,array,returned,will,be,a,different,instance,than,the,array,given;public,static,a,e,extends,a,a,to,array,enumeration,e,enumeration,a,array,array,list,a,elements,new,array,list,while,enumeration,has,more,elements,elements,add,enumeration,next,element,return,elements,to,array,array
CollectionUtils -> public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array);1496837955;Marshal the elements from the given enumeration into an array of the given type._Enumeration elements must be assignable to the type of the given array. The array_returned will be a different instance than the array given.;public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array) {_		ArrayList<A> elements = new ArrayList<>()__		while (enumeration.hasMoreElements()) {_			elements.add(enumeration.nextElement())__		}_		return elements.toArray(array)__	};marshal,the,elements,from,the,given,enumeration,into,an,array,of,the,given,type,enumeration,elements,must,be,assignable,to,the,type,of,the,given,array,the,array,returned,will,be,a,different,instance,than,the,array,given;public,static,a,e,extends,a,a,to,array,enumeration,e,enumeration,a,array,array,list,a,elements,new,array,list,while,enumeration,has,more,elements,elements,add,enumeration,next,element,return,elements,to,array,array
CollectionUtils -> public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array);1496955179;Marshal the elements from the given enumeration into an array of the given type._Enumeration elements must be assignable to the type of the given array. The array_returned will be a different instance than the array given.;public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array) {_		ArrayList<A> elements = new ArrayList<>()__		while (enumeration.hasMoreElements()) {_			elements.add(enumeration.nextElement())__		}_		return elements.toArray(array)__	};marshal,the,elements,from,the,given,enumeration,into,an,array,of,the,given,type,enumeration,elements,must,be,assignable,to,the,type,of,the,given,array,the,array,returned,will,be,a,different,instance,than,the,array,given;public,static,a,e,extends,a,a,to,array,enumeration,e,enumeration,a,array,array,list,a,elements,new,array,list,while,enumeration,has,more,elements,elements,add,enumeration,next,element,return,elements,to,array,array
CollectionUtils -> public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array);1497269532;Marshal the elements from the given enumeration into an array of the given type._Enumeration elements must be assignable to the type of the given array. The array_returned will be a different instance than the array given.;public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array) {_		ArrayList<A> elements = new ArrayList<>()__		while (enumeration.hasMoreElements()) {_			elements.add(enumeration.nextElement())__		}_		return elements.toArray(array)__	};marshal,the,elements,from,the,given,enumeration,into,an,array,of,the,given,type,enumeration,elements,must,be,assignable,to,the,type,of,the,given,array,the,array,returned,will,be,a,different,instance,than,the,array,given;public,static,a,e,extends,a,a,to,array,enumeration,e,enumeration,a,array,array,list,a,elements,new,array,list,while,enumeration,has,more,elements,elements,add,enumeration,next,element,return,elements,to,array,array
CollectionUtils -> public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array);1500448076;Marshal the elements from the given enumeration into an array of the given type._Enumeration elements must be assignable to the type of the given array. The array_returned will be a different instance than the array given.;public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array) {_		ArrayList<A> elements = new ArrayList<>()__		while (enumeration.hasMoreElements()) {_			elements.add(enumeration.nextElement())__		}_		return elements.toArray(array)__	};marshal,the,elements,from,the,given,enumeration,into,an,array,of,the,given,type,enumeration,elements,must,be,assignable,to,the,type,of,the,given,array,the,array,returned,will,be,a,different,instance,than,the,array,given;public,static,a,e,extends,a,a,to,array,enumeration,e,enumeration,a,array,array,list,a,elements,new,array,list,while,enumeration,has,more,elements,elements,add,enumeration,next,element,return,elements,to,array,array
CollectionUtils -> public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array);1502974979;Marshal the elements from the given enumeration into an array of the given type._Enumeration elements must be assignable to the type of the given array. The array_returned will be a different instance than the array given.;public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array) {_		ArrayList<A> elements = new ArrayList<>()__		while (enumeration.hasMoreElements()) {_			elements.add(enumeration.nextElement())__		}_		return elements.toArray(array)__	};marshal,the,elements,from,the,given,enumeration,into,an,array,of,the,given,type,enumeration,elements,must,be,assignable,to,the,type,of,the,given,array,the,array,returned,will,be,a,different,instance,than,the,array,given;public,static,a,e,extends,a,a,to,array,enumeration,e,enumeration,a,array,array,list,a,elements,new,array,list,while,enumeration,has,more,elements,elements,add,enumeration,next,element,return,elements,to,array,array
CollectionUtils -> public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array);1515777832;Marshal the elements from the given enumeration into an array of the given type._Enumeration elements must be assignable to the type of the given array. The array_returned will be a different instance than the array given.;public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array) {_		ArrayList<A> elements = new ArrayList<>()__		while (enumeration.hasMoreElements()) {_			elements.add(enumeration.nextElement())__		}_		return elements.toArray(array)__	};marshal,the,elements,from,the,given,enumeration,into,an,array,of,the,given,type,enumeration,elements,must,be,assignable,to,the,type,of,the,given,array,the,array,returned,will,be,a,different,instance,than,the,array,given;public,static,a,e,extends,a,a,to,array,enumeration,e,enumeration,a,array,array,list,a,elements,new,array,list,while,enumeration,has,more,elements,elements,add,enumeration,next,element,return,elements,to,array,array
CollectionUtils -> public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array);1528737477;Marshal the elements from the given enumeration into an array of the given type._Enumeration elements must be assignable to the type of the given array. The array_returned will be a different instance than the array given.;public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array) {_		ArrayList<A> elements = new ArrayList<>()__		while (enumeration.hasMoreElements()) {_			elements.add(enumeration.nextElement())__		}_		return elements.toArray(array)__	};marshal,the,elements,from,the,given,enumeration,into,an,array,of,the,given,type,enumeration,elements,must,be,assignable,to,the,type,of,the,given,array,the,array,returned,will,be,a,different,instance,than,the,array,given;public,static,a,e,extends,a,a,to,array,enumeration,e,enumeration,a,array,array,list,a,elements,new,array,list,while,enumeration,has,more,elements,elements,add,enumeration,next,element,return,elements,to,array,array
CollectionUtils -> public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array);1530174524;Marshal the elements from the given enumeration into an array of the given type._Enumeration elements must be assignable to the type of the given array. The array_returned will be a different instance than the array given.;public static <A, E extends A> A[] toArray(Enumeration<E> enumeration, A[] array) {_		ArrayList<A> elements = new ArrayList<>()__		while (enumeration.hasMoreElements()) {_			elements.add(enumeration.nextElement())__		}_		return elements.toArray(array)__	};marshal,the,elements,from,the,given,enumeration,into,an,array,of,the,given,type,enumeration,elements,must,be,assignable,to,the,type,of,the,given,array,the,array,returned,will,be,a,different,instance,than,the,array,given;public,static,a,e,extends,a,a,to,array,enumeration,e,enumeration,a,array,array,list,a,elements,new,array,list,while,enumeration,has,more,elements,elements,add,enumeration,next,element,return,elements,to,array,array
CollectionUtils -> @Nullable 	public static Class<?> findCommonElementType(Collection<?> collection);1495868221;Find the common element type of the given Collection, if any._@param collection the Collection to check_@return the common element type, or {@code null} if no clear_common type has been found (or the collection was empty);@Nullable_	public static Class<?> findCommonElementType(Collection<?> collection) {_		if (isEmpty(collection)) {_			return null__		}_		Class<?> candidate = null__		for (Object val : collection) {_			if (val != null) {_				if (candidate == null) {_					candidate = val.getClass()__				}_				else if (candidate != val.getClass()) {_					return null__				}_			}_		}_		return candidate__	};find,the,common,element,type,of,the,given,collection,if,any,param,collection,the,collection,to,check,return,the,common,element,type,or,code,null,if,no,clear,common,type,has,been,found,or,the,collection,was,empty;nullable,public,static,class,find,common,element,type,collection,collection,if,is,empty,collection,return,null,class,candidate,null,for,object,val,collection,if,val,null,if,candidate,null,candidate,val,get,class,else,if,candidate,val,get,class,return,null,return,candidate
CollectionUtils -> @Nullable 	public static Class<?> findCommonElementType(Collection<?> collection);1496259743;Find the common element type of the given Collection, if any._@param collection the Collection to check_@return the common element type, or {@code null} if no clear_common type has been found (or the collection was empty);@Nullable_	public static Class<?> findCommonElementType(Collection<?> collection) {_		if (isEmpty(collection)) {_			return null__		}_		Class<?> candidate = null__		for (Object val : collection) {_			if (val != null) {_				if (candidate == null) {_					candidate = val.getClass()__				}_				else if (candidate != val.getClass()) {_					return null__				}_			}_		}_		return candidate__	};find,the,common,element,type,of,the,given,collection,if,any,param,collection,the,collection,to,check,return,the,common,element,type,or,code,null,if,no,clear,common,type,has,been,found,or,the,collection,was,empty;nullable,public,static,class,find,common,element,type,collection,collection,if,is,empty,collection,return,null,class,candidate,null,for,object,val,collection,if,val,null,if,candidate,null,candidate,val,get,class,else,if,candidate,val,get,class,return,null,return,candidate
CollectionUtils -> @Nullable 	public static Class<?> findCommonElementType(Collection<?> collection);1496837955;Find the common element type of the given Collection, if any._@param collection the Collection to check_@return the common element type, or {@code null} if no clear_common type has been found (or the collection was empty);@Nullable_	public static Class<?> findCommonElementType(Collection<?> collection) {_		if (isEmpty(collection)) {_			return null__		}_		Class<?> candidate = null__		for (Object val : collection) {_			if (val != null) {_				if (candidate == null) {_					candidate = val.getClass()__				}_				else if (candidate != val.getClass()) {_					return null__				}_			}_		}_		return candidate__	};find,the,common,element,type,of,the,given,collection,if,any,param,collection,the,collection,to,check,return,the,common,element,type,or,code,null,if,no,clear,common,type,has,been,found,or,the,collection,was,empty;nullable,public,static,class,find,common,element,type,collection,collection,if,is,empty,collection,return,null,class,candidate,null,for,object,val,collection,if,val,null,if,candidate,null,candidate,val,get,class,else,if,candidate,val,get,class,return,null,return,candidate
CollectionUtils -> @Nullable 	public static Class<?> findCommonElementType(Collection<?> collection);1496955179;Find the common element type of the given Collection, if any._@param collection the Collection to check_@return the common element type, or {@code null} if no clear_common type has been found (or the collection was empty);@Nullable_	public static Class<?> findCommonElementType(Collection<?> collection) {_		if (isEmpty(collection)) {_			return null__		}_		Class<?> candidate = null__		for (Object val : collection) {_			if (val != null) {_				if (candidate == null) {_					candidate = val.getClass()__				}_				else if (candidate != val.getClass()) {_					return null__				}_			}_		}_		return candidate__	};find,the,common,element,type,of,the,given,collection,if,any,param,collection,the,collection,to,check,return,the,common,element,type,or,code,null,if,no,clear,common,type,has,been,found,or,the,collection,was,empty;nullable,public,static,class,find,common,element,type,collection,collection,if,is,empty,collection,return,null,class,candidate,null,for,object,val,collection,if,val,null,if,candidate,null,candidate,val,get,class,else,if,candidate,val,get,class,return,null,return,candidate
CollectionUtils -> @Nullable 	public static Class<?> findCommonElementType(Collection<?> collection);1497269532;Find the common element type of the given Collection, if any._@param collection the Collection to check_@return the common element type, or {@code null} if no clear_common type has been found (or the collection was empty);@Nullable_	public static Class<?> findCommonElementType(Collection<?> collection) {_		if (isEmpty(collection)) {_			return null__		}_		Class<?> candidate = null__		for (Object val : collection) {_			if (val != null) {_				if (candidate == null) {_					candidate = val.getClass()__				}_				else if (candidate != val.getClass()) {_					return null__				}_			}_		}_		return candidate__	};find,the,common,element,type,of,the,given,collection,if,any,param,collection,the,collection,to,check,return,the,common,element,type,or,code,null,if,no,clear,common,type,has,been,found,or,the,collection,was,empty;nullable,public,static,class,find,common,element,type,collection,collection,if,is,empty,collection,return,null,class,candidate,null,for,object,val,collection,if,val,null,if,candidate,null,candidate,val,get,class,else,if,candidate,val,get,class,return,null,return,candidate
CollectionUtils -> @Nullable 	public static Class<?> findCommonElementType(Collection<?> collection);1500448076;Find the common element type of the given Collection, if any._@param collection the Collection to check_@return the common element type, or {@code null} if no clear_common type has been found (or the collection was empty);@Nullable_	public static Class<?> findCommonElementType(Collection<?> collection) {_		if (isEmpty(collection)) {_			return null__		}_		Class<?> candidate = null__		for (Object val : collection) {_			if (val != null) {_				if (candidate == null) {_					candidate = val.getClass()__				}_				else if (candidate != val.getClass()) {_					return null__				}_			}_		}_		return candidate__	};find,the,common,element,type,of,the,given,collection,if,any,param,collection,the,collection,to,check,return,the,common,element,type,or,code,null,if,no,clear,common,type,has,been,found,or,the,collection,was,empty;nullable,public,static,class,find,common,element,type,collection,collection,if,is,empty,collection,return,null,class,candidate,null,for,object,val,collection,if,val,null,if,candidate,null,candidate,val,get,class,else,if,candidate,val,get,class,return,null,return,candidate
CollectionUtils -> @Nullable 	public static Class<?> findCommonElementType(Collection<?> collection);1502974979;Find the common element type of the given Collection, if any._@param collection the Collection to check_@return the common element type, or {@code null} if no clear_common type has been found (or the collection was empty);@Nullable_	public static Class<?> findCommonElementType(Collection<?> collection) {_		if (isEmpty(collection)) {_			return null__		}_		Class<?> candidate = null__		for (Object val : collection) {_			if (val != null) {_				if (candidate == null) {_					candidate = val.getClass()__				}_				else if (candidate != val.getClass()) {_					return null__				}_			}_		}_		return candidate__	};find,the,common,element,type,of,the,given,collection,if,any,param,collection,the,collection,to,check,return,the,common,element,type,or,code,null,if,no,clear,common,type,has,been,found,or,the,collection,was,empty;nullable,public,static,class,find,common,element,type,collection,collection,if,is,empty,collection,return,null,class,candidate,null,for,object,val,collection,if,val,null,if,candidate,null,candidate,val,get,class,else,if,candidate,val,get,class,return,null,return,candidate
CollectionUtils -> @Nullable 	public static Class<?> findCommonElementType(Collection<?> collection);1515777832;Find the common element type of the given Collection, if any._@param collection the Collection to check_@return the common element type, or {@code null} if no clear_common type has been found (or the collection was empty);@Nullable_	public static Class<?> findCommonElementType(Collection<?> collection) {_		if (isEmpty(collection)) {_			return null__		}_		Class<?> candidate = null__		for (Object val : collection) {_			if (val != null) {_				if (candidate == null) {_					candidate = val.getClass()__				}_				else if (candidate != val.getClass()) {_					return null__				}_			}_		}_		return candidate__	};find,the,common,element,type,of,the,given,collection,if,any,param,collection,the,collection,to,check,return,the,common,element,type,or,code,null,if,no,clear,common,type,has,been,found,or,the,collection,was,empty;nullable,public,static,class,find,common,element,type,collection,collection,if,is,empty,collection,return,null,class,candidate,null,for,object,val,collection,if,val,null,if,candidate,null,candidate,val,get,class,else,if,candidate,val,get,class,return,null,return,candidate
CollectionUtils -> @Nullable 	public static Class<?> findCommonElementType(Collection<?> collection);1528737477;Find the common element type of the given Collection, if any._@param collection the Collection to check_@return the common element type, or {@code null} if no clear_common type has been found (or the collection was empty);@Nullable_	public static Class<?> findCommonElementType(Collection<?> collection) {_		if (isEmpty(collection)) {_			return null__		}_		Class<?> candidate = null__		for (Object val : collection) {_			if (val != null) {_				if (candidate == null) {_					candidate = val.getClass()__				}_				else if (candidate != val.getClass()) {_					return null__				}_			}_		}_		return candidate__	};find,the,common,element,type,of,the,given,collection,if,any,param,collection,the,collection,to,check,return,the,common,element,type,or,code,null,if,no,clear,common,type,has,been,found,or,the,collection,was,empty;nullable,public,static,class,find,common,element,type,collection,collection,if,is,empty,collection,return,null,class,candidate,null,for,object,val,collection,if,val,null,if,candidate,null,candidate,val,get,class,else,if,candidate,val,get,class,return,null,return,candidate
CollectionUtils -> @Nullable 	public static Class<?> findCommonElementType(Collection<?> collection);1530174524;Find the common element type of the given Collection, if any._@param collection the Collection to check_@return the common element type, or {@code null} if no clear_common type has been found (or the collection was empty);@Nullable_	public static Class<?> findCommonElementType(Collection<?> collection) {_		if (isEmpty(collection)) {_			return null__		}_		Class<?> candidate = null__		for (Object val : collection) {_			if (val != null) {_				if (candidate == null) {_					candidate = val.getClass()__				}_				else if (candidate != val.getClass()) {_					return null__				}_			}_		}_		return candidate__	};find,the,common,element,type,of,the,given,collection,if,any,param,collection,the,collection,to,check,return,the,common,element,type,or,code,null,if,no,clear,common,type,has,been,found,or,the,collection,was,empty;nullable,public,static,class,find,common,element,type,collection,collection,if,is,empty,collection,return,null,class,candidate,null,for,object,val,collection,if,val,null,if,candidate,null,candidate,val,get,class,else,if,candidate,val,get,class,return,null,return,candidate
CollectionUtils -> public static boolean contains(Iterator iterator, Object element);1328020251;Check whether the given Iterator contains the given element._@param iterator the Iterator to check_@param element the element to look for_@return <code>true</code> if found, <code>false</code> else;public static boolean contains(Iterator iterator, Object element) {_		if (iterator != null) {_			while (iterator.hasNext()) {_				Object candidate = iterator.next()__				if (ObjectUtils.nullSafeEquals(candidate, element)) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,iterator,contains,the,given,element,param,iterator,the,iterator,to,check,param,element,the,element,to,look,for,return,code,true,code,if,found,code,false,code,else;public,static,boolean,contains,iterator,iterator,object,element,if,iterator,null,while,iterator,has,next,object,candidate,iterator,next,if,object,utils,null,safe,equals,candidate,element,return,true,return,false
CollectionUtils -> public static boolean contains(Iterator iterator, Object element);1356735495;Check whether the given Iterator contains the given element._@param iterator the Iterator to check_@param element the element to look for_@return {@code true} if found, {@code false} else;public static boolean contains(Iterator iterator, Object element) {_		if (iterator != null) {_			while (iterator.hasNext()) {_				Object candidate = iterator.next()__				if (ObjectUtils.nullSafeEquals(candidate, element)) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,iterator,contains,the,given,element,param,iterator,the,iterator,to,check,param,element,the,element,to,look,for,return,code,true,if,found,code,false,else;public,static,boolean,contains,iterator,iterator,object,element,if,iterator,null,while,iterator,has,next,object,candidate,iterator,next,if,object,utils,null,safe,equals,candidate,element,return,true,return,false
CollectionUtils -> public static boolean contains(Iterator iterator, Object element);1357119239;Check whether the given Iterator contains the given element._@param iterator the Iterator to check_@param element the element to look for_@return {@code true} if found, {@code false} else;public static boolean contains(Iterator iterator, Object element) {_		if (iterator != null) {_			while (iterator.hasNext()) {_				Object candidate = iterator.next()__				if (ObjectUtils.nullSafeEquals(candidate, element)) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,iterator,contains,the,given,element,param,iterator,the,iterator,to,check,param,element,the,element,to,look,for,return,code,true,if,found,code,false,else;public,static,boolean,contains,iterator,iterator,object,element,if,iterator,null,while,iterator,has,next,object,candidate,iterator,next,if,object,utils,null,safe,equals,candidate,element,return,true,return,false
CollectionUtils -> public static boolean contains(Iterator iterator, Object element);1368482696;Check whether the given Iterator contains the given element._@param iterator the Iterator to check_@param element the element to look for_@return {@code true} if found, {@code false} else;public static boolean contains(Iterator iterator, Object element) {_		if (iterator != null) {_			while (iterator.hasNext()) {_				Object candidate = iterator.next()__				if (ObjectUtils.nullSafeEquals(candidate, element)) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,iterator,contains,the,given,element,param,iterator,the,iterator,to,check,param,element,the,element,to,look,for,return,code,true,if,found,code,false,else;public,static,boolean,contains,iterator,iterator,object,element,if,iterator,null,while,iterator,has,next,object,candidate,iterator,next,if,object,utils,null,safe,equals,candidate,element,return,true,return,false
CollectionUtils -> public static Object findValueOfType(Collection<?> collection, Class<?>[] types);1328020251;Find a single value of one of the given types in the given Collection:_searching the Collection for a value of the first type, then_searching for a value of the second type, etc._@param collection the collection to search_@param types the types to look for, in prioritized order_@return a value of one of the given types found if there is a clear match,_or <code>null</code> if none or more than one such value found;public static Object findValueOfType(Collection<?> collection, Class<?>[] types) {_		if (isEmpty(collection) || ObjectUtils.isEmpty(types)) {_			return null__		}_		for (Class<?> type : types) {_			Object value = findValueOfType(collection, type)__			if (value != null) {_				return value__			}_		}_		return null__	};find,a,single,value,of,one,of,the,given,types,in,the,given,collection,searching,the,collection,for,a,value,of,the,first,type,then,searching,for,a,value,of,the,second,type,etc,param,collection,the,collection,to,search,param,types,the,types,to,look,for,in,prioritized,order,return,a,value,of,one,of,the,given,types,found,if,there,is,a,clear,match,or,code,null,code,if,none,or,more,than,one,such,value,found;public,static,object,find,value,of,type,collection,collection,class,types,if,is,empty,collection,object,utils,is,empty,types,return,null,for,class,type,types,object,value,find,value,of,type,collection,type,if,value,null,return,value,return,null
CollectionUtils -> public static Object findValueOfType(Collection<?> collection, Class<?>[] types);1356735495;Find a single value of one of the given types in the given Collection:_searching the Collection for a value of the first type, then_searching for a value of the second type, etc._@param collection the collection to search_@param types the types to look for, in prioritized order_@return a value of one of the given types found if there is a clear match,_or {@code null} if none or more than one such value found;public static Object findValueOfType(Collection<?> collection, Class<?>[] types) {_		if (isEmpty(collection) || ObjectUtils.isEmpty(types)) {_			return null__		}_		for (Class<?> type : types) {_			Object value = findValueOfType(collection, type)__			if (value != null) {_				return value__			}_		}_		return null__	};find,a,single,value,of,one,of,the,given,types,in,the,given,collection,searching,the,collection,for,a,value,of,the,first,type,then,searching,for,a,value,of,the,second,type,etc,param,collection,the,collection,to,search,param,types,the,types,to,look,for,in,prioritized,order,return,a,value,of,one,of,the,given,types,found,if,there,is,a,clear,match,or,code,null,if,none,or,more,than,one,such,value,found;public,static,object,find,value,of,type,collection,collection,class,types,if,is,empty,collection,object,utils,is,empty,types,return,null,for,class,type,types,object,value,find,value,of,type,collection,type,if,value,null,return,value,return,null
CollectionUtils -> public static Object findValueOfType(Collection<?> collection, Class<?>[] types);1357119239;Find a single value of one of the given types in the given Collection:_searching the Collection for a value of the first type, then_searching for a value of the second type, etc._@param collection the collection to search_@param types the types to look for, in prioritized order_@return a value of one of the given types found if there is a clear match,_or {@code null} if none or more than one such value found;public static Object findValueOfType(Collection<?> collection, Class<?>[] types) {_		if (isEmpty(collection) || ObjectUtils.isEmpty(types)) {_			return null__		}_		for (Class<?> type : types) {_			Object value = findValueOfType(collection, type)__			if (value != null) {_				return value__			}_		}_		return null__	};find,a,single,value,of,one,of,the,given,types,in,the,given,collection,searching,the,collection,for,a,value,of,the,first,type,then,searching,for,a,value,of,the,second,type,etc,param,collection,the,collection,to,search,param,types,the,types,to,look,for,in,prioritized,order,return,a,value,of,one,of,the,given,types,found,if,there,is,a,clear,match,or,code,null,if,none,or,more,than,one,such,value,found;public,static,object,find,value,of,type,collection,collection,class,types,if,is,empty,collection,object,utils,is,empty,types,return,null,for,class,type,types,object,value,find,value,of,type,collection,type,if,value,null,return,value,return,null
CollectionUtils -> public static Object findValueOfType(Collection<?> collection, Class<?>[] types);1368482696;Find a single value of one of the given types in the given Collection:_searching the Collection for a value of the first type, then_searching for a value of the second type, etc._@param collection the collection to search_@param types the types to look for, in prioritized order_@return a value of one of the given types found if there is a clear match,_or {@code null} if none or more than one such value found;public static Object findValueOfType(Collection<?> collection, Class<?>[] types) {_		if (isEmpty(collection) || ObjectUtils.isEmpty(types)) {_			return null__		}_		for (Class<?> type : types) {_			Object value = findValueOfType(collection, type)__			if (value != null) {_				return value__			}_		}_		return null__	};find,a,single,value,of,one,of,the,given,types,in,the,given,collection,searching,the,collection,for,a,value,of,the,first,type,then,searching,for,a,value,of,the,second,type,etc,param,collection,the,collection,to,search,param,types,the,types,to,look,for,in,prioritized,order,return,a,value,of,one,of,the,given,types,found,if,there,is,a,clear,match,or,code,null,if,none,or,more,than,one,such,value,found;public,static,object,find,value,of,type,collection,collection,class,types,if,is,empty,collection,object,utils,is,empty,types,return,null,for,class,type,types,object,value,find,value,of,type,collection,type,if,value,null,return,value,return,null
CollectionUtils -> public static Object findValueOfType(Collection<?> collection, Class<?>[] types);1385412762;Find a single value of one of the given types in the given Collection:_searching the Collection for a value of the first type, then_searching for a value of the second type, etc._@param collection the collection to search_@param types the types to look for, in prioritized order_@return a value of one of the given types found if there is a clear match,_or {@code null} if none or more than one such value found;public static Object findValueOfType(Collection<?> collection, Class<?>[] types) {_		if (isEmpty(collection) || ObjectUtils.isEmpty(types)) {_			return null__		}_		for (Class<?> type : types) {_			Object value = findValueOfType(collection, type)__			if (value != null) {_				return value__			}_		}_		return null__	};find,a,single,value,of,one,of,the,given,types,in,the,given,collection,searching,the,collection,for,a,value,of,the,first,type,then,searching,for,a,value,of,the,second,type,etc,param,collection,the,collection,to,search,param,types,the,types,to,look,for,in,prioritized,order,return,a,value,of,one,of,the,given,types,found,if,there,is,a,clear,match,or,code,null,if,none,or,more,than,one,such,value,found;public,static,object,find,value,of,type,collection,collection,class,types,if,is,empty,collection,object,utils,is,empty,types,return,null,for,class,type,types,object,value,find,value,of,type,collection,type,if,value,null,return,value,return,null
