# id;timestamp;commentText;codeText;commentWords;codeWords
MethodVisitor -> public void visitAttribute(Attribute attr);1366718246;Visits a non standard attribute of this method.__@param attr_an attribute.;public void visitAttribute(Attribute attr) {_        if (mv != null) {_            mv.visitAttribute(attr)__        }_    };visits,a,non,standard,attribute,of,this,method,param,attr,an,attribute;public,void,visit,attribute,attribute,attr,if,mv,null,mv,visit,attribute,attr
MethodVisitor -> public AnnotationVisitor visitLocalVariableAnnotation(int typeRef,             TypePath typePath, Label[] start, Label[] end, int[] index,             String desc, boolean visible);1483093254;Visits an annotation on a local variable type.__@param typeRef_a reference to the annotated type. The sort of this type_reference must be {@link TypeReference#LOCAL_VARIABLE_LOCAL_VARIABLE} or {@link TypeReference#RESOURCE_VARIABLE_RESOURCE_VARIABLE}. See {@link TypeReference}._@param typePath_the path to the annotated type argument, wildcard bound, array_element type, or static inner type within 'typeRef'. May be_<tt>null</tt> if the annotation targets 'typeRef' as a whole._@param start_the fist instructions corresponding to the continuous ranges_that make the scope of this local variable (inclusive)._@param end_the last instructions corresponding to the continuous ranges_that make the scope of this local variable (exclusive). This_array must have the same size as the 'start' array._@param index_the local variable's index in each range. This array must have_the same size as the 'start' array._@param desc_the class descriptor of the annotation class._@param visible_<tt>true</tt> if the annotation is visible at runtime._@return a visitor to visit the annotation values, or <tt>null</tt> if_this visitor is not interested in visiting this annotation.;public AnnotationVisitor visitLocalVariableAnnotation(int typeRef,_            TypePath typePath, Label[] start, Label[] end, int[] index,_            String desc, boolean visible) {_		_        if (mv != null) {_            return mv.visitLocalVariableAnnotation(typeRef, typePath, start,_                    end, index, desc, visible)__        }_        return null__    };visits,an,annotation,on,a,local,variable,type,param,type,ref,a,reference,to,the,annotated,type,the,sort,of,this,type,reference,must,be,link,type,reference,or,link,type,reference,see,link,type,reference,param,type,path,the,path,to,the,annotated,type,argument,wildcard,bound,array,element,type,or,static,inner,type,within,type,ref,may,be,tt,null,tt,if,the,annotation,targets,type,ref,as,a,whole,param,start,the,fist,instructions,corresponding,to,the,continuous,ranges,that,make,the,scope,of,this,local,variable,inclusive,param,end,the,last,instructions,corresponding,to,the,continuous,ranges,that,make,the,scope,of,this,local,variable,exclusive,this,array,must,have,the,same,size,as,the,start,array,param,index,the,local,variable,s,index,in,each,range,this,array,must,have,the,same,size,as,the,start,array,param,desc,the,class,descriptor,of,the,annotation,class,param,visible,tt,true,tt,if,the,annotation,is,visible,at,runtime,return,a,visitor,to,visit,the,annotation,values,or,tt,null,tt,if,this,visitor,is,not,interested,in,visiting,this,annotation;public,annotation,visitor,visit,local,variable,annotation,int,type,ref,type,path,type,path,label,start,label,end,int,index,string,desc,boolean,visible,if,mv,null,return,mv,visit,local,variable,annotation,type,ref,type,path,start,end,index,desc,visible,return,null
MethodVisitor -> public AnnotationVisitor visitLocalVariableAnnotation(int typeRef,             TypePath typePath, Label[] start, Label[] end, int[] index,             String desc, boolean visible);1505821772;Visits an annotation on a local variable type.__@param typeRef_a reference to the annotated type. The sort of this type_reference must be {@link TypeReference#LOCAL_VARIABLE_LOCAL_VARIABLE} or {@link TypeReference#RESOURCE_VARIABLE_RESOURCE_VARIABLE}. See {@link TypeReference}._@param typePath_the path to the annotated type argument, wildcard bound, array_element type, or static inner type within 'typeRef'. May be_<tt>null</tt> if the annotation targets 'typeRef' as a whole._@param start_the fist instructions corresponding to the continuous ranges_that make the scope of this local variable (inclusive)._@param end_the last instructions corresponding to the continuous ranges_that make the scope of this local variable (exclusive). This_array must have the same size as the 'start' array._@param index_the local variable's index in each range. This array must have_the same size as the 'start' array._@param desc_the class descriptor of the annotation class._@param visible_<tt>true</tt> if the annotation is visible at runtime._@return a visitor to visit the annotation values, or <tt>null</tt> if_this visitor is not interested in visiting this annotation.;public AnnotationVisitor visitLocalVariableAnnotation(int typeRef,_            TypePath typePath, Label[] start, Label[] end, int[] index,_            String desc, boolean visible) {_		_        if (mv != null) {_            return mv.visitLocalVariableAnnotation(typeRef, typePath, start,_                    end, index, desc, visible)__        }_        return null__    };visits,an,annotation,on,a,local,variable,type,param,type,ref,a,reference,to,the,annotated,type,the,sort,of,this,type,reference,must,be,link,type,reference,or,link,type,reference,see,link,type,reference,param,type,path,the,path,to,the,annotated,type,argument,wildcard,bound,array,element,type,or,static,inner,type,within,type,ref,may,be,tt,null,tt,if,the,annotation,targets,type,ref,as,a,whole,param,start,the,fist,instructions,corresponding,to,the,continuous,ranges,that,make,the,scope,of,this,local,variable,inclusive,param,end,the,last,instructions,corresponding,to,the,continuous,ranges,that,make,the,scope,of,this,local,variable,exclusive,this,array,must,have,the,same,size,as,the,start,array,param,index,the,local,variable,s,index,in,each,range,this,array,must,have,the,same,size,as,the,start,array,param,desc,the,class,descriptor,of,the,annotation,class,param,visible,tt,true,tt,if,the,annotation,is,visible,at,runtime,return,a,visitor,to,visit,the,annotation,values,or,tt,null,tt,if,this,visitor,is,not,interested,in,visiting,this,annotation;public,annotation,visitor,visit,local,variable,annotation,int,type,ref,type,path,type,path,label,start,label,end,int,index,string,desc,boolean,visible,if,mv,null,return,mv,visit,local,variable,annotation,type,ref,type,path,start,end,index,desc,visible,return,null
MethodVisitor -> public AnnotationVisitor visitInsnAnnotation(       final int typeRef, final TypePath typePath, final String descriptor, final boolean visible);1531241461;Visits an annotation on an instruction. This method must be called just <i>after</i> the_annotated instruction. It can be called several times for the same instruction.__@param typeRef a reference to the annotated type. The sort of this type reference must be_{@link TypeReference#INSTANCEOF}, {@link TypeReference#NEW}, {@link_TypeReference#CONSTRUCTOR_REFERENCE}, {@link TypeReference#METHOD_REFERENCE}, {@link_TypeReference#CAST}, {@link TypeReference#CONSTRUCTOR_INVOCATION_TYPE_ARGUMENT}, {@link_TypeReference#METHOD_INVOCATION_TYPE_ARGUMENT}, {@link_TypeReference#CONSTRUCTOR_REFERENCE_TYPE_ARGUMENT}, or {@link_TypeReference#METHOD_REFERENCE_TYPE_ARGUMENT}. See {@link TypeReference}._@param typePath the path to the annotated type argument, wildcard bound, array element type, or_static inner type within 'typeRef'. May be <tt>null</tt> if the annotation targets_'typeRef' as a whole._@param descriptor the class descriptor of the annotation class._@param visible <tt>true</tt> if the annotation is visible at runtime._@return a visitor to visit the annotation values, or <tt>null</tt> if this visitor is not_interested in visiting this annotation.;public AnnotationVisitor visitInsnAnnotation(_      final int typeRef, final TypePath typePath, final String descriptor, final boolean visible) {_    if (api < Opcodes.ASM5) {_      throw new UnsupportedOperationException(REQUIRES_ASM5)__    }_    if (mv != null) {_      return mv.visitInsnAnnotation(typeRef, typePath, descriptor, visible)__    }_    return null__  };visits,an,annotation,on,an,instruction,this,method,must,be,called,just,i,after,i,the,annotated,instruction,it,can,be,called,several,times,for,the,same,instruction,param,type,ref,a,reference,to,the,annotated,type,the,sort,of,this,type,reference,must,be,link,type,reference,instanceof,link,type,reference,new,link,type,reference,link,type,reference,link,type,reference,cast,link,type,reference,link,type,reference,link,type,reference,or,link,type,reference,see,link,type,reference,param,type,path,the,path,to,the,annotated,type,argument,wildcard,bound,array,element,type,or,static,inner,type,within,type,ref,may,be,tt,null,tt,if,the,annotation,targets,type,ref,as,a,whole,param,descriptor,the,class,descriptor,of,the,annotation,class,param,visible,tt,true,tt,if,the,annotation,is,visible,at,runtime,return,a,visitor,to,visit,the,annotation,values,or,tt,null,tt,if,this,visitor,is,not,interested,in,visiting,this,annotation;public,annotation,visitor,visit,insn,annotation,final,int,type,ref,final,type,path,type,path,final,string,descriptor,final,boolean,visible,if,api,opcodes,asm5,throw,new,unsupported,operation,exception,if,mv,null,return,mv,visit,insn,annotation,type,ref,type,path,descriptor,visible,return,null
MethodVisitor -> public AnnotationVisitor visitInsnAnnotation(       final int typeRef, final TypePath typePath, final String descriptor, final boolean visible);1533573221;Visits an annotation on an instruction. This method must be called just <i>after</i> the_annotated instruction. It can be called several times for the same instruction.__@param typeRef a reference to the annotated type. The sort of this type reference must be_{@link TypeReference#INSTANCEOF}, {@link TypeReference#NEW}, {@link_TypeReference#CONSTRUCTOR_REFERENCE}, {@link TypeReference#METHOD_REFERENCE}, {@link_TypeReference#CAST}, {@link TypeReference#CONSTRUCTOR_INVOCATION_TYPE_ARGUMENT}, {@link_TypeReference#METHOD_INVOCATION_TYPE_ARGUMENT}, {@link_TypeReference#CONSTRUCTOR_REFERENCE_TYPE_ARGUMENT}, or {@link_TypeReference#METHOD_REFERENCE_TYPE_ARGUMENT}. See {@link TypeReference}._@param typePath the path to the annotated type argument, wildcard bound, array element type, or_static inner type within 'typeRef'. May be <tt>null</tt> if the annotation targets_'typeRef' as a whole._@param descriptor the class descriptor of the annotation class._@param visible <tt>true</tt> if the annotation is visible at runtime._@return a visitor to visit the annotation values, or <tt>null</tt> if this visitor is not_interested in visiting this annotation.;public AnnotationVisitor visitInsnAnnotation(_      final int typeRef, final TypePath typePath, final String descriptor, final boolean visible) {_    if (api < Opcodes.ASM5) {_      throw new UnsupportedOperationException(REQUIRES_ASM5)__    }_    if (mv != null) {_      return mv.visitInsnAnnotation(typeRef, typePath, descriptor, visible)__    }_    return null__  };visits,an,annotation,on,an,instruction,this,method,must,be,called,just,i,after,i,the,annotated,instruction,it,can,be,called,several,times,for,the,same,instruction,param,type,ref,a,reference,to,the,annotated,type,the,sort,of,this,type,reference,must,be,link,type,reference,instanceof,link,type,reference,new,link,type,reference,link,type,reference,link,type,reference,cast,link,type,reference,link,type,reference,link,type,reference,or,link,type,reference,see,link,type,reference,param,type,path,the,path,to,the,annotated,type,argument,wildcard,bound,array,element,type,or,static,inner,type,within,type,ref,may,be,tt,null,tt,if,the,annotation,targets,type,ref,as,a,whole,param,descriptor,the,class,descriptor,of,the,annotation,class,param,visible,tt,true,tt,if,the,annotation,is,visible,at,runtime,return,a,visitor,to,visit,the,annotation,values,or,tt,null,tt,if,this,visitor,is,not,interested,in,visiting,this,annotation;public,annotation,visitor,visit,insn,annotation,final,int,type,ref,final,type,path,type,path,final,string,descriptor,final,boolean,visible,if,api,opcodes,asm5,throw,new,unsupported,operation,exception,if,mv,null,return,mv,visit,insn,annotation,type,ref,type,path,descriptor,visible,return,null
MethodVisitor -> public AnnotationVisitor visitInsnAnnotation(       final int typeRef, final TypePath typePath, final String descriptor, final boolean visible);1536664245;Visits an annotation on an instruction. This method must be called just <i>after</i> the_annotated instruction. It can be called several times for the same instruction.__@param typeRef a reference to the annotated type. The sort of this type reference must be_{@link TypeReference#INSTANCEOF}, {@link TypeReference#NEW}, {@link_TypeReference#CONSTRUCTOR_REFERENCE}, {@link TypeReference#METHOD_REFERENCE}, {@link_TypeReference#CAST}, {@link TypeReference#CONSTRUCTOR_INVOCATION_TYPE_ARGUMENT}, {@link_TypeReference#METHOD_INVOCATION_TYPE_ARGUMENT}, {@link_TypeReference#CONSTRUCTOR_REFERENCE_TYPE_ARGUMENT}, or {@link_TypeReference#METHOD_REFERENCE_TYPE_ARGUMENT}. See {@link TypeReference}._@param typePath the path to the annotated type argument, wildcard bound, array element type, or_static inner type within 'typeRef'. May be {@literal null} if the annotation targets_'typeRef' as a whole._@param descriptor the class descriptor of the annotation class._@param visible {@literal true} if the annotation is visible at runtime._@return a visitor to visit the annotation values, or {@literal null} if this visitor is not_interested in visiting this annotation.;public AnnotationVisitor visitInsnAnnotation(_      final int typeRef, final TypePath typePath, final String descriptor, final boolean visible) {_    if (api < Opcodes.ASM5) {_      throw new UnsupportedOperationException(REQUIRES_ASM5)__    }_    if (mv != null) {_      return mv.visitInsnAnnotation(typeRef, typePath, descriptor, visible)__    }_    return null__  };visits,an,annotation,on,an,instruction,this,method,must,be,called,just,i,after,i,the,annotated,instruction,it,can,be,called,several,times,for,the,same,instruction,param,type,ref,a,reference,to,the,annotated,type,the,sort,of,this,type,reference,must,be,link,type,reference,instanceof,link,type,reference,new,link,type,reference,link,type,reference,link,type,reference,cast,link,type,reference,link,type,reference,link,type,reference,or,link,type,reference,see,link,type,reference,param,type,path,the,path,to,the,annotated,type,argument,wildcard,bound,array,element,type,or,static,inner,type,within,type,ref,may,be,literal,null,if,the,annotation,targets,type,ref,as,a,whole,param,descriptor,the,class,descriptor,of,the,annotation,class,param,visible,literal,true,if,the,annotation,is,visible,at,runtime,return,a,visitor,to,visit,the,annotation,values,or,literal,null,if,this,visitor,is,not,interested,in,visiting,this,annotation;public,annotation,visitor,visit,insn,annotation,final,int,type,ref,final,type,path,type,path,final,string,descriptor,final,boolean,visible,if,api,opcodes,asm5,throw,new,unsupported,operation,exception,if,mv,null,return,mv,visit,insn,annotation,type,ref,type,path,descriptor,visible,return,null
MethodVisitor -> public AnnotationVisitor visitInsnAnnotation(       final int typeRef, final TypePath typePath, final String descriptor, final boolean visible);1537204147;Visits an annotation on an instruction. This method must be called just <i>after</i> the_annotated instruction. It can be called several times for the same instruction.__@param typeRef a reference to the annotated type. The sort of this type reference must be_{@link TypeReference#INSTANCEOF}, {@link TypeReference#NEW}, {@link_TypeReference#CONSTRUCTOR_REFERENCE}, {@link TypeReference#METHOD_REFERENCE}, {@link_TypeReference#CAST}, {@link TypeReference#CONSTRUCTOR_INVOCATION_TYPE_ARGUMENT}, {@link_TypeReference#METHOD_INVOCATION_TYPE_ARGUMENT}, {@link_TypeReference#CONSTRUCTOR_REFERENCE_TYPE_ARGUMENT}, or {@link_TypeReference#METHOD_REFERENCE_TYPE_ARGUMENT}. See {@link TypeReference}._@param typePath the path to the annotated type argument, wildcard bound, array element type, or_static inner type within 'typeRef'. May be {@literal null} if the annotation targets_'typeRef' as a whole._@param descriptor the class descriptor of the annotation class._@param visible {@literal true} if the annotation is visible at runtime._@return a visitor to visit the annotation values, or {@literal null} if this visitor is not_interested in visiting this annotation.;public AnnotationVisitor visitInsnAnnotation(_      final int typeRef, final TypePath typePath, final String descriptor, final boolean visible) {_    if (api < Opcodes.ASM5) {_      throw new UnsupportedOperationException(REQUIRES_ASM5)__    }_    if (mv != null) {_      return mv.visitInsnAnnotation(typeRef, typePath, descriptor, visible)__    }_    return null__  };visits,an,annotation,on,an,instruction,this,method,must,be,called,just,i,after,i,the,annotated,instruction,it,can,be,called,several,times,for,the,same,instruction,param,type,ref,a,reference,to,the,annotated,type,the,sort,of,this,type,reference,must,be,link,type,reference,instanceof,link,type,reference,new,link,type,reference,link,type,reference,link,type,reference,cast,link,type,reference,link,type,reference,link,type,reference,or,link,type,reference,see,link,type,reference,param,type,path,the,path,to,the,annotated,type,argument,wildcard,bound,array,element,type,or,static,inner,type,within,type,ref,may,be,literal,null,if,the,annotation,targets,type,ref,as,a,whole,param,descriptor,the,class,descriptor,of,the,annotation,class,param,visible,literal,true,if,the,annotation,is,visible,at,runtime,return,a,visitor,to,visit,the,annotation,values,or,literal,null,if,this,visitor,is,not,interested,in,visiting,this,annotation;public,annotation,visitor,visit,insn,annotation,final,int,type,ref,final,type,path,type,path,final,string,descriptor,final,boolean,visible,if,api,opcodes,asm5,throw,new,unsupported,operation,exception,if,mv,null,return,mv,visit,insn,annotation,type,ref,type,path,descriptor,visible,return,null
MethodVisitor -> public AnnotationVisitor visitAnnotation(String desc, boolean visible);1366718246;Visits an annotation of this method.__@param desc_the class descriptor of the annotation class._@param visible_<tt>true</tt> if the annotation is visible at runtime._@return a visitor to visit the annotation values, or <tt>null</tt> if_this visitor is not interested in visiting this annotation.;public AnnotationVisitor visitAnnotation(String desc, boolean visible) {_        if (mv != null) {_            return mv.visitAnnotation(desc, visible)__        }_        return null__    };visits,an,annotation,of,this,method,param,desc,the,class,descriptor,of,the,annotation,class,param,visible,tt,true,tt,if,the,annotation,is,visible,at,runtime,return,a,visitor,to,visit,the,annotation,values,or,tt,null,tt,if,this,visitor,is,not,interested,in,visiting,this,annotation;public,annotation,visitor,visit,annotation,string,desc,boolean,visible,if,mv,null,return,mv,visit,annotation,desc,visible,return,null
MethodVisitor -> public AnnotationVisitor visitAnnotation(String desc, boolean visible);1367955086;Visits an annotation of this method.__@param desc_the class descriptor of the annotation class._@param visible_<tt>true</tt> if the annotation is visible at runtime._@return a visitor to visit the annotation values, or <tt>null</tt> if_this visitor is not interested in visiting this annotation.;public AnnotationVisitor visitAnnotation(String desc, boolean visible) {_        if (mv != null) {_            return mv.visitAnnotation(desc, visible)__        }_        return null__    };visits,an,annotation,of,this,method,param,desc,the,class,descriptor,of,the,annotation,class,param,visible,tt,true,tt,if,the,annotation,is,visible,at,runtime,return,a,visitor,to,visit,the,annotation,values,or,tt,null,tt,if,this,visitor,is,not,interested,in,visiting,this,annotation;public,annotation,visitor,visit,annotation,string,desc,boolean,visible,if,mv,null,return,mv,visit,annotation,desc,visible,return,null
MethodVisitor -> public AnnotationVisitor visitAnnotation(String desc, boolean visible);1395273982;Visits an annotation of this method.__@param desc_the class descriptor of the annotation class._@param visible_<tt>true</tt> if the annotation is visible at runtime._@return a visitor to visit the annotation values, or <tt>null</tt> if_this visitor is not interested in visiting this annotation.;public AnnotationVisitor visitAnnotation(String desc, boolean visible) {_        if (mv != null) {_            return mv.visitAnnotation(desc, visible)__        }_        return null__    };visits,an,annotation,of,this,method,param,desc,the,class,descriptor,of,the,annotation,class,param,visible,tt,true,tt,if,the,annotation,is,visible,at,runtime,return,a,visitor,to,visit,the,annotation,values,or,tt,null,tt,if,this,visitor,is,not,interested,in,visiting,this,annotation;public,annotation,visitor,visit,annotation,string,desc,boolean,visible,if,mv,null,return,mv,visit,annotation,desc,visible,return,null
MethodVisitor -> public AnnotationVisitor visitAnnotation(String desc, boolean visible);1397644526;Visits an annotation of this method.__@param desc_the class descriptor of the annotation class._@param visible_<tt>true</tt> if the annotation is visible at runtime._@return a visitor to visit the annotation values, or <tt>null</tt> if_this visitor is not interested in visiting this annotation.;public AnnotationVisitor visitAnnotation(String desc, boolean visible) {_        if (mv != null) {_            return mv.visitAnnotation(desc, visible)__        }_        return null__    };visits,an,annotation,of,this,method,param,desc,the,class,descriptor,of,the,annotation,class,param,visible,tt,true,tt,if,the,annotation,is,visible,at,runtime,return,a,visitor,to,visit,the,annotation,values,or,tt,null,tt,if,this,visitor,is,not,interested,in,visiting,this,annotation;public,annotation,visitor,visit,annotation,string,desc,boolean,visible,if,mv,null,return,mv,visit,annotation,desc,visible,return,null
MethodVisitor -> public AnnotationVisitor visitAnnotation(String desc, boolean visible);1483093254;Visits an annotation of this method.__@param desc_the class descriptor of the annotation class._@param visible_<tt>true</tt> if the annotation is visible at runtime._@return a visitor to visit the annotation values, or <tt>null</tt> if_this visitor is not interested in visiting this annotation.;public AnnotationVisitor visitAnnotation(String desc, boolean visible) {_        if (mv != null) {_            return mv.visitAnnotation(desc, visible)__        }_        return null__    };visits,an,annotation,of,this,method,param,desc,the,class,descriptor,of,the,annotation,class,param,visible,tt,true,tt,if,the,annotation,is,visible,at,runtime,return,a,visitor,to,visit,the,annotation,values,or,tt,null,tt,if,this,visitor,is,not,interested,in,visiting,this,annotation;public,annotation,visitor,visit,annotation,string,desc,boolean,visible,if,mv,null,return,mv,visit,annotation,desc,visible,return,null
MethodVisitor -> public AnnotationVisitor visitAnnotation(String desc, boolean visible);1505821772;Visits an annotation of this method.__@param desc_the class descriptor of the annotation class._@param visible_<tt>true</tt> if the annotation is visible at runtime._@return a visitor to visit the annotation values, or <tt>null</tt> if_this visitor is not interested in visiting this annotation.;public AnnotationVisitor visitAnnotation(String desc, boolean visible) {_        if (mv != null) {_            return mv.visitAnnotation(desc, visible)__        }_        return null__    };visits,an,annotation,of,this,method,param,desc,the,class,descriptor,of,the,annotation,class,param,visible,tt,true,tt,if,the,annotation,is,visible,at,runtime,return,a,visitor,to,visit,the,annotation,values,or,tt,null,tt,if,this,visitor,is,not,interested,in,visiting,this,annotation;public,annotation,visitor,visit,annotation,string,desc,boolean,visible,if,mv,null,return,mv,visit,annotation,desc,visible,return,null
MethodVisitor -> @Deprecated     public void visitMethodInsn(int opcode, String owner, String name,             String desc);1395273982;Visits a method instruction. A method instruction is an instruction that_invokes a method.__@param opcode_the opcode of the type instruction to be visited. This opcode_is either INVOKEVIRTUAL, INVOKESPECIAL, INVOKESTATIC or_INVOKEINTERFACE._@param owner_the internal name of the method's owner class (see_{@link Type#getInternalName() getInternalName})._@param name_the method's name._@param desc_the method's descriptor (see {@link Type Type}).;@Deprecated_    public void visitMethodInsn(int opcode, String owner, String name,_            String desc) {_        if (api >= Opcodes.ASM5) {_            boolean itf = opcode == Opcodes.INVOKEINTERFACE__            visitMethodInsn(opcode, owner, name, desc, itf)__            return__        }_        if (mv != null) {_            mv.visitMethodInsn(opcode, owner, name, desc)__        }_    };visits,a,method,instruction,a,method,instruction,is,an,instruction,that,invokes,a,method,param,opcode,the,opcode,of,the,type,instruction,to,be,visited,this,opcode,is,either,invokevirtual,invokespecial,invokestatic,or,invokeinterface,param,owner,the,internal,name,of,the,method,s,owner,class,see,link,type,get,internal,name,get,internal,name,param,name,the,method,s,name,param,desc,the,method,s,descriptor,see,link,type,type;deprecated,public,void,visit,method,insn,int,opcode,string,owner,string,name,string,desc,if,api,opcodes,asm5,boolean,itf,opcode,opcodes,invokeinterface,visit,method,insn,opcode,owner,name,desc,itf,return,if,mv,null,mv,visit,method,insn,opcode,owner,name,desc
MethodVisitor -> @Deprecated     public void visitMethodInsn(int opcode, String owner, String name,             String desc);1397644526;Visits a method instruction. A method instruction is an instruction that_invokes a method.__@param opcode_the opcode of the type instruction to be visited. This opcode_is either INVOKEVIRTUAL, INVOKESPECIAL, INVOKESTATIC or_INVOKEINTERFACE._@param owner_the internal name of the method's owner class (see_{@link Type#getInternalName() getInternalName})._@param name_the method's name._@param desc_the method's descriptor (see {@link Type Type}).;@Deprecated_    public void visitMethodInsn(int opcode, String owner, String name,_            String desc) {_        if (api >= Opcodes.ASM5) {_            boolean itf = opcode == Opcodes.INVOKEINTERFACE__            visitMethodInsn(opcode, owner, name, desc, itf)__            return__        }_        if (mv != null) {_            mv.visitMethodInsn(opcode, owner, name, desc)__        }_    };visits,a,method,instruction,a,method,instruction,is,an,instruction,that,invokes,a,method,param,opcode,the,opcode,of,the,type,instruction,to,be,visited,this,opcode,is,either,invokevirtual,invokespecial,invokestatic,or,invokeinterface,param,owner,the,internal,name,of,the,method,s,owner,class,see,link,type,get,internal,name,get,internal,name,param,name,the,method,s,name,param,desc,the,method,s,descriptor,see,link,type,type;deprecated,public,void,visit,method,insn,int,opcode,string,owner,string,name,string,desc,if,api,opcodes,asm5,boolean,itf,opcode,opcodes,invokeinterface,visit,method,insn,opcode,owner,name,desc,itf,return,if,mv,null,mv,visit,method,insn,opcode,owner,name,desc
MethodVisitor -> @Deprecated     public void visitMethodInsn(int opcode, String owner, String name,             String desc);1483093254;Visits a method instruction. A method instruction is an instruction that_invokes a method.__@param opcode_the opcode of the type instruction to be visited. This opcode_is either INVOKEVIRTUAL, INVOKESPECIAL, INVOKESTATIC or_INVOKEINTERFACE._@param owner_the internal name of the method's owner class (see_{@link Type#getInternalName() getInternalName})._@param name_the method's name._@param desc_the method's descriptor (see {@link Type Type}).;@Deprecated_    public void visitMethodInsn(int opcode, String owner, String name,_            String desc) {_        if (api >= Opcodes.ASM5) {_            boolean itf = opcode == Opcodes.INVOKEINTERFACE__            visitMethodInsn(opcode, owner, name, desc, itf)__            return__        }_        if (mv != null) {_            mv.visitMethodInsn(opcode, owner, name, desc)__        }_    };visits,a,method,instruction,a,method,instruction,is,an,instruction,that,invokes,a,method,param,opcode,the,opcode,of,the,type,instruction,to,be,visited,this,opcode,is,either,invokevirtual,invokespecial,invokestatic,or,invokeinterface,param,owner,the,internal,name,of,the,method,s,owner,class,see,link,type,get,internal,name,get,internal,name,param,name,the,method,s,name,param,desc,the,method,s,descriptor,see,link,type,type;deprecated,public,void,visit,method,insn,int,opcode,string,owner,string,name,string,desc,if,api,opcodes,asm5,boolean,itf,opcode,opcodes,invokeinterface,visit,method,insn,opcode,owner,name,desc,itf,return,if,mv,null,mv,visit,method,insn,opcode,owner,name,desc
MethodVisitor -> @Deprecated     public void visitMethodInsn(int opcode, String owner, String name,             String desc);1505821772;Visits a method instruction. A method instruction is an instruction that_invokes a method.__@param opcode_the opcode of the type instruction to be visited. This opcode_is either INVOKEVIRTUAL, INVOKESPECIAL, INVOKESTATIC or_INVOKEINTERFACE._@param owner_the internal name of the method's owner class (see_{@link Type#getInternalName() getInternalName})._@param name_the method's name._@param desc_the method's descriptor (see {@link Type Type}).;@Deprecated_    public void visitMethodInsn(int opcode, String owner, String name,_            String desc) {_        if (api >= Opcodes.ASM5) {_            boolean itf = opcode == Opcodes.INVOKEINTERFACE__            visitMethodInsn(opcode, owner, name, desc, itf)__            return__        }_        if (mv != null) {_            mv.visitMethodInsn(opcode, owner, name, desc)__        }_    };visits,a,method,instruction,a,method,instruction,is,an,instruction,that,invokes,a,method,param,opcode,the,opcode,of,the,type,instruction,to,be,visited,this,opcode,is,either,invokevirtual,invokespecial,invokestatic,or,invokeinterface,param,owner,the,internal,name,of,the,method,s,owner,class,see,link,type,get,internal,name,get,internal,name,param,name,the,method,s,name,param,desc,the,method,s,descriptor,see,link,type,type;deprecated,public,void,visit,method,insn,int,opcode,string,owner,string,name,string,desc,if,api,opcodes,asm5,boolean,itf,opcode,opcodes,invokeinterface,visit,method,insn,opcode,owner,name,desc,itf,return,if,mv,null,mv,visit,method,insn,opcode,owner,name,desc
MethodVisitor -> public void visitMaxs(int maxStack, int maxLocals);1366718246;Visits the maximum stack size and the maximum number of local variables_of the method.__@param maxStack_maximum stack size of the method._@param maxLocals_maximum number of local variables for the method.;public void visitMaxs(int maxStack, int maxLocals) {_        if (mv != null) {_            mv.visitMaxs(maxStack, maxLocals)__        }_    };visits,the,maximum,stack,size,and,the,maximum,number,of,local,variables,of,the,method,param,max,stack,maximum,stack,size,of,the,method,param,max,locals,maximum,number,of,local,variables,for,the,method;public,void,visit,maxs,int,max,stack,int,max,locals,if,mv,null,mv,visit,maxs,max,stack,max,locals
MethodVisitor -> public void visitMaxs(int maxStack, int maxLocals);1367955086;Visits the maximum stack size and the maximum number of local variables_of the method.__@param maxStack_maximum stack size of the method._@param maxLocals_maximum number of local variables for the method.;public void visitMaxs(int maxStack, int maxLocals) {_        if (mv != null) {_            mv.visitMaxs(maxStack, maxLocals)__        }_    };visits,the,maximum,stack,size,and,the,maximum,number,of,local,variables,of,the,method,param,max,stack,maximum,stack,size,of,the,method,param,max,locals,maximum,number,of,local,variables,for,the,method;public,void,visit,maxs,int,max,stack,int,max,locals,if,mv,null,mv,visit,maxs,max,stack,max,locals
MethodVisitor -> public void visitMaxs(int maxStack, int maxLocals);1395273982;Visits the maximum stack size and the maximum number of local variables_of the method.__@param maxStack_maximum stack size of the method._@param maxLocals_maximum number of local variables for the method.;public void visitMaxs(int maxStack, int maxLocals) {_        if (mv != null) {_            mv.visitMaxs(maxStack, maxLocals)__        }_    };visits,the,maximum,stack,size,and,the,maximum,number,of,local,variables,of,the,method,param,max,stack,maximum,stack,size,of,the,method,param,max,locals,maximum,number,of,local,variables,for,the,method;public,void,visit,maxs,int,max,stack,int,max,locals,if,mv,null,mv,visit,maxs,max,stack,max,locals
MethodVisitor -> public void visitMaxs(int maxStack, int maxLocals);1397644526;Visits the maximum stack size and the maximum number of local variables_of the method.__@param maxStack_maximum stack size of the method._@param maxLocals_maximum number of local variables for the method.;public void visitMaxs(int maxStack, int maxLocals) {_        if (mv != null) {_            mv.visitMaxs(maxStack, maxLocals)__        }_    };visits,the,maximum,stack,size,and,the,maximum,number,of,local,variables,of,the,method,param,max,stack,maximum,stack,size,of,the,method,param,max,locals,maximum,number,of,local,variables,for,the,method;public,void,visit,maxs,int,max,stack,int,max,locals,if,mv,null,mv,visit,maxs,max,stack,max,locals
