# id;timestamp;commentText;codeText;commentWords;codeWords
AdaptableJobFactory -> @Override 	public Job newJob(TriggerFiredBundle bundle) throws SchedulerException;1356735495;Quartz 1.x version of newJob: contains actual implementation code.;@Override_	public Job newJob(TriggerFiredBundle bundle) throws SchedulerException {_		try {_			Object jobObject = createJobInstance(bundle)__			return adaptJob(jobObject)__		}_		catch (Exception ex) {_			throw new SchedulerException("Job instantiation failed", ex)__		}_	};quartz,1,x,version,of,new,job,contains,actual,implementation,code;override,public,job,new,job,trigger,fired,bundle,bundle,throws,scheduler,exception,try,object,job,object,create,job,instance,bundle,return,adapt,job,job,object,catch,exception,ex,throw,new,scheduler,exception,job,instantiation,failed,ex
AdaptableJobFactory -> protected Object createJobInstance(TriggerFiredBundle bundle) throws Exception;1395953963;Create an instance of the specified job class._<p>Can be overridden to post-process the job instance._@param bundle the TriggerFiredBundle from which the JobDetail_and other info relating to the trigger firing can be obtained_@return the job instance_@throws Exception if job instantiation failed;protected Object createJobInstance(TriggerFiredBundle bundle) throws Exception {_		return bundle.getJobDetail().getJobClass().newInstance()__	};create,an,instance,of,the,specified,job,class,p,can,be,overridden,to,post,process,the,job,instance,param,bundle,the,trigger,fired,bundle,from,which,the,job,detail,and,other,info,relating,to,the,trigger,firing,can,be,obtained,return,the,job,instance,throws,exception,if,job,instantiation,failed;protected,object,create,job,instance,trigger,fired,bundle,bundle,throws,exception,return,bundle,get,job,detail,get,job,class,new,instance
AdaptableJobFactory -> protected Object createJobInstance(TriggerFiredBundle bundle) throws Exception;1468948866;Create an instance of the specified job class._<p>Can be overridden to post-process the job instance._@param bundle the TriggerFiredBundle from which the JobDetail_and other info relating to the trigger firing can be obtained_@return the job instance_@throws Exception if job instantiation failed;protected Object createJobInstance(TriggerFiredBundle bundle) throws Exception {_		Class<?> jobClass = bundle.getJobDetail().getJobClass()__		return ReflectionUtils.accessibleConstructor(jobClass).newInstance()__	};create,an,instance,of,the,specified,job,class,p,can,be,overridden,to,post,process,the,job,instance,param,bundle,the,trigger,fired,bundle,from,which,the,job,detail,and,other,info,relating,to,the,trigger,firing,can,be,obtained,return,the,job,instance,throws,exception,if,job,instantiation,failed;protected,object,create,job,instance,trigger,fired,bundle,bundle,throws,exception,class,job,class,bundle,get,job,detail,get,job,class,return,reflection,utils,accessible,constructor,job,class,new,instance
AdaptableJobFactory -> protected Object createJobInstance(TriggerFiredBundle bundle) throws Exception;1517348142;Create an instance of the specified job class._<p>Can be overridden to post-process the job instance._@param bundle the TriggerFiredBundle from which the JobDetail_and other info relating to the trigger firing can be obtained_@return the job instance_@throws Exception if job instantiation failed;protected Object createJobInstance(TriggerFiredBundle bundle) throws Exception {_		Class<?> jobClass = bundle.getJobDetail().getJobClass()__		return ReflectionUtils.accessibleConstructor(jobClass).newInstance()__	};create,an,instance,of,the,specified,job,class,p,can,be,overridden,to,post,process,the,job,instance,param,bundle,the,trigger,fired,bundle,from,which,the,job,detail,and,other,info,relating,to,the,trigger,firing,can,be,obtained,return,the,job,instance,throws,exception,if,job,instantiation,failed;protected,object,create,job,instance,trigger,fired,bundle,bundle,throws,exception,class,job,class,bundle,get,job,detail,get,job,class,return,reflection,utils,accessible,constructor,job,class,new,instance
AdaptableJobFactory -> public Job newJob(TriggerFiredBundle bundle) throws SchedulerException;1328020251;Quartz 1.x version of newJob: contains actual implementation code.;public Job newJob(TriggerFiredBundle bundle) throws SchedulerException {_		try {_			Object jobObject = createJobInstance(bundle)__			return adaptJob(jobObject)__		}_		catch (Exception ex) {_			throw new SchedulerException("Job instantiation failed", ex)__		}_	};quartz,1,x,version,of,new,job,contains,actual,implementation,code;public,job,new,job,trigger,fired,bundle,bundle,throws,scheduler,exception,try,object,job,object,create,job,instance,bundle,return,adapt,job,job,object,catch,exception,ex,throw,new,scheduler,exception,job,instantiation,failed,ex
AdaptableJobFactory -> public Job newJob(TriggerFiredBundle bundle) throws SchedulerException;1357119239;Quartz 1.x version of newJob: contains actual implementation code.;public Job newJob(TriggerFiredBundle bundle) throws SchedulerException {_		try {_			Object jobObject = createJobInstance(bundle)__			return adaptJob(jobObject)__		}_		catch (Exception ex) {_			throw new SchedulerException("Job instantiation failed", ex)__		}_	};quartz,1,x,version,of,new,job,contains,actual,implementation,code;public,job,new,job,trigger,fired,bundle,bundle,throws,scheduler,exception,try,object,job,object,create,job,instance,bundle,return,adapt,job,job,object,catch,exception,ex,throw,new,scheduler,exception,job,instantiation,failed,ex
AdaptableJobFactory -> public Job newJob(TriggerFiredBundle bundle) throws SchedulerException;1363730577;Quartz 1.x version of newJob: contains actual implementation code.;public Job newJob(TriggerFiredBundle bundle) throws SchedulerException {_		try {_			Object jobObject = createJobInstance(bundle)__			return adaptJob(jobObject)__		}_		catch (Exception ex) {_			throw new SchedulerException("Job instantiation failed", ex)__		}_	};quartz,1,x,version,of,new,job,contains,actual,implementation,code;public,job,new,job,trigger,fired,bundle,bundle,throws,scheduler,exception,try,object,job,object,create,job,instance,bundle,return,adapt,job,job,object,catch,exception,ex,throw,new,scheduler,exception,job,instantiation,failed,ex
AdaptableJobFactory -> public Job newJob(TriggerFiredBundle bundle, Scheduler scheduler) throws SchedulerException;1328020251;Quartz 2.0 version of newJob: simply delegates to old newJob variant._@see #newJob(org.quartz.spi.TriggerFiredBundle);public Job newJob(TriggerFiredBundle bundle, Scheduler scheduler) throws SchedulerException {_		return newJob(bundle)__	};quartz,2,0,version,of,new,job,simply,delegates,to,old,new,job,variant,see,new,job,org,quartz,spi,trigger,fired,bundle;public,job,new,job,trigger,fired,bundle,bundle,scheduler,scheduler,throws,scheduler,exception,return,new,job,bundle
AdaptableJobFactory -> public Job newJob(TriggerFiredBundle bundle, Scheduler scheduler) throws SchedulerException;1356735495;Quartz 2.0 version of newJob: simply delegates to old newJob variant._@see #newJob(org.quartz.spi.TriggerFiredBundle);public Job newJob(TriggerFiredBundle bundle, Scheduler scheduler) throws SchedulerException {_		return newJob(bundle)__	};quartz,2,0,version,of,new,job,simply,delegates,to,old,new,job,variant,see,new,job,org,quartz,spi,trigger,fired,bundle;public,job,new,job,trigger,fired,bundle,bundle,scheduler,scheduler,throws,scheduler,exception,return,new,job,bundle
AdaptableJobFactory -> public Job newJob(TriggerFiredBundle bundle, Scheduler scheduler) throws SchedulerException;1357119239;Quartz 2.0 version of newJob: simply delegates to old newJob variant._@see #newJob(org.quartz.spi.TriggerFiredBundle);public Job newJob(TriggerFiredBundle bundle, Scheduler scheduler) throws SchedulerException {_		return newJob(bundle)__	};quartz,2,0,version,of,new,job,simply,delegates,to,old,new,job,variant,see,new,job,org,quartz,spi,trigger,fired,bundle;public,job,new,job,trigger,fired,bundle,bundle,scheduler,scheduler,throws,scheduler,exception,return,new,job,bundle
AdaptableJobFactory -> public Job newJob(TriggerFiredBundle bundle, Scheduler scheduler) throws SchedulerException;1363730577;Quartz 2.0 version of newJob: simply delegates to old newJob variant._@see #newJob(org.quartz.spi.TriggerFiredBundle);public Job newJob(TriggerFiredBundle bundle, Scheduler scheduler) throws SchedulerException {_		return newJob(bundle)__	};quartz,2,0,version,of,new,job,simply,delegates,to,old,new,job,variant,see,new,job,org,quartz,spi,trigger,fired,bundle;public,job,new,job,trigger,fired,bundle,bundle,scheduler,scheduler,throws,scheduler,exception,return,new,job,bundle
AdaptableJobFactory -> public Job newJob(TriggerFiredBundle bundle, Scheduler scheduler) throws SchedulerException;1368482696;Quartz 2.0 version of newJob: simply delegates to old newJob variant._@see #newJob(org.quartz.spi.TriggerFiredBundle);public Job newJob(TriggerFiredBundle bundle, Scheduler scheduler) throws SchedulerException {_		return newJob(bundle)__	};quartz,2,0,version,of,new,job,simply,delegates,to,old,new,job,variant,see,new,job,org,quartz,spi,trigger,fired,bundle;public,job,new,job,trigger,fired,bundle,bundle,scheduler,scheduler,throws,scheduler,exception,return,new,job,bundle
AdaptableJobFactory -> public Job newJob(TriggerFiredBundle bundle, Scheduler scheduler) throws SchedulerException;1375198429;Quartz 2.0 version of newJob: simply delegates to old newJob variant._@see #newJob(org.quartz.spi.TriggerFiredBundle);public Job newJob(TriggerFiredBundle bundle, Scheduler scheduler) throws SchedulerException {_		return newJob(bundle)__	};quartz,2,0,version,of,new,job,simply,delegates,to,old,new,job,variant,see,new,job,org,quartz,spi,trigger,fired,bundle;public,job,new,job,trigger,fired,bundle,bundle,scheduler,scheduler,throws,scheduler,exception,return,new,job,bundle
AdaptableJobFactory -> public Job newJob(TriggerFiredBundle bundle, Scheduler scheduler) throws SchedulerException;1385412762;Quartz 2.0 version of newJob: simply delegates to old newJob variant._@see #newJob(org.quartz.spi.TriggerFiredBundle);public Job newJob(TriggerFiredBundle bundle, Scheduler scheduler) throws SchedulerException {_		return newJob(bundle)__	};quartz,2,0,version,of,new,job,simply,delegates,to,old,new,job,variant,see,new,job,org,quartz,spi,trigger,fired,bundle;public,job,new,job,trigger,fired,bundle,bundle,scheduler,scheduler,throws,scheduler,exception,return,new,job,bundle
AdaptableJobFactory -> public Job newJob(TriggerFiredBundle bundle, Scheduler scheduler) throws SchedulerException;1388954345;Quartz 2.0 version of newJob: simply delegates to old newJob variant._@see #newJob(org.quartz.spi.TriggerFiredBundle);public Job newJob(TriggerFiredBundle bundle, Scheduler scheduler) throws SchedulerException {_		return newJob(bundle)__	};quartz,2,0,version,of,new,job,simply,delegates,to,old,new,job,variant,see,new,job,org,quartz,spi,trigger,fired,bundle;public,job,new,job,trigger,fired,bundle,bundle,scheduler,scheduler,throws,scheduler,exception,return,new,job,bundle
