# id;timestamp;commentText;codeText;commentWords;codeWords
InternalOrder -> public static boolean isKeyDesc(BucketOrder order);1524684173;Determine if the ordering strategy is sorting on bucket key descending.__@param order bucket ordering strategy to check._@return {@code true} if the ordering strategy is sorting on bucket key descending, {@code false} otherwise.;public static boolean isKeyDesc(BucketOrder order) {_        return isOrder(order, KEY_DESC)__    };determine,if,the,ordering,strategy,is,sorting,on,bucket,key,descending,param,order,bucket,ordering,strategy,to,check,return,code,true,if,the,ordering,strategy,is,sorting,on,bucket,key,descending,code,false,otherwise;public,static,boolean,is,key,desc,bucket,order,order,return,is,order,order
InternalOrder -> Streams -> public static void writeHistogramOrder(BucketOrder order, StreamOutput out, boolean bwcOrderFlag) throws IOException;1540583181;ONLY FOR HISTOGRAM ORDER: Backwards compatibility logic to write a {@link BucketOrder} to a stream.__@param order        order to write to the stream._@param out          stream to write the order to._@param bwcOrderFlag {@code true} to always {@code out.writeBoolean(true)} for the backwards compat logic before_writing the order. {@code false} to skip this flag._@throws IOException on error writing to the stream.;public static void writeHistogramOrder(BucketOrder order, StreamOutput out, boolean bwcOrderFlag) throws IOException {_            if (out.getVersion().onOrAfter(Version.V_6_0_0_alpha2)) {_                order.writeTo(out)__            } else { _                if(bwcOrderFlag) { _                    out.writeBoolean(true)_ _                }_                if (order instanceof CompoundOrder) {_                    _                    order = ((CompoundOrder) order).orderElements.get(0)__                }_                if (order instanceof Aggregation) {_                    _                    order.writeTo(out)__                } else {_                    _                    byte id__                    switch (order.id()) {_                        case COUNT_DESC_ID:_                            id = 4__                            break__                        case COUNT_ASC_ID:_                            id = 3__                            break__                        case KEY_DESC_ID:_                            id = 2__                            break__                        case KEY_ASC_ID:_                            id = 1__                            break__                        default: throw new RuntimeException("unknown order id [" + order.id() + "]")__                    }_                    out.writeByte(id)__                }_            }_        };only,for,histogram,order,backwards,compatibility,logic,to,write,a,link,bucket,order,to,a,stream,param,order,order,to,write,to,the,stream,param,out,stream,to,write,the,order,to,param,bwc,order,flag,code,true,to,always,code,out,write,boolean,true,for,the,backwards,compat,logic,before,writing,the,order,code,false,to,skip,this,flag,throws,ioexception,on,error,writing,to,the,stream;public,static,void,write,histogram,order,bucket,order,order,stream,output,out,boolean,bwc,order,flag,throws,ioexception,if,out,get,version,on,or,after,version,order,write,to,out,else,if,bwc,order,flag,out,write,boolean,true,if,order,instanceof,compound,order,order,compound,order,order,order,elements,get,0,if,order,instanceof,aggregation,order,write,to,out,else,byte,id,switch,order,id,case,id,4,break,case,id,3,break,case,id,2,break,case,id,1,break,default,throw,new,runtime,exception,unknown,order,id,order,id,out,write,byte,id
InternalOrder -> CompoundOrder -> CompoundOrder(List<BucketOrder> compoundOrder);1524684173;Create a new ordering strategy to sort by multiple criteria. A tie-breaker may be added to avoid_non-deterministic ordering.__@param compoundOrder a list of {@link BucketOrder}s to sort on, in order of priority.;CompoundOrder(List<BucketOrder> compoundOrder) {_            this(compoundOrder, true)__        };create,a,new,ordering,strategy,to,sort,by,multiple,criteria,a,tie,breaker,may,be,added,to,avoid,non,deterministic,ordering,param,compound,order,a,list,of,link,bucket,order,s,to,sort,on,in,order,of,priority;compound,order,list,bucket,order,compound,order,this,compound,order,true
InternalOrder -> CompoundOrder -> CompoundOrder(List<BucketOrder> compoundOrder);1537806831;Create a new ordering strategy to sort by multiple criteria. A tie-breaker may be added to avoid_non-deterministic ordering.__@param compoundOrder a list of {@link BucketOrder}s to sort on, in order of priority.;CompoundOrder(List<BucketOrder> compoundOrder) {_            this(compoundOrder, true)__        };create,a,new,ordering,strategy,to,sort,by,multiple,criteria,a,tie,breaker,may,be,added,to,avoid,non,deterministic,ordering,param,compound,order,a,list,of,link,bucket,order,s,to,sort,on,in,order,of,priority;compound,order,list,bucket,order,compound,order,this,compound,order,true
InternalOrder -> CompoundOrder -> CompoundOrder(List<BucketOrder> compoundOrder);1540486836;Create a new ordering strategy to sort by multiple criteria. A tie-breaker may be added to avoid_non-deterministic ordering.__@param compoundOrder a list of {@link BucketOrder}s to sort on, in order of priority.;CompoundOrder(List<BucketOrder> compoundOrder) {_            this(compoundOrder, true)__        };create,a,new,ordering,strategy,to,sort,by,multiple,criteria,a,tie,breaker,may,be,added,to,avoid,non,deterministic,ordering,param,compound,order,a,list,of,link,bucket,order,s,to,sort,on,in,order,of,priority;compound,order,list,bucket,order,compound,order,this,compound,order,true
InternalOrder -> CompoundOrder -> CompoundOrder(List<BucketOrder> compoundOrder);1540583181;Create a new ordering strategy to sort by multiple criteria. A tie-breaker may be added to avoid_non-deterministic ordering.__@param compoundOrder a list of {@link BucketOrder}s to sort on, in order of priority.;CompoundOrder(List<BucketOrder> compoundOrder) {_            this(compoundOrder, true)__        };create,a,new,ordering,strategy,to,sort,by,multiple,criteria,a,tie,breaker,may,be,added,to,avoid,non,deterministic,ordering,param,compound,order,a,list,of,link,bucket,order,s,to,sort,on,in,order,of,priority;compound,order,list,bucket,order,compound,order,this,compound,order,true
InternalOrder -> CompoundOrder -> CompoundOrder(List<BucketOrder> compoundOrder, boolean absoluteOrdering);1524684173;Create a new ordering strategy to sort by multiple criteria.__@param compoundOrder    a list of {@link BucketOrder}s to sort on, in order of priority._@param absoluteOrdering {@code true} to add a tie-breaker to avoid non-deterministic ordering if needed,_{@code false} otherwise.;CompoundOrder(List<BucketOrder> compoundOrder, boolean absoluteOrdering) {_            this.orderElements = new LinkedList<>(compoundOrder)__            BucketOrder lastElement = null__            for (BucketOrder order : orderElements) {_                if (order instanceof CompoundOrder) {_                    throw new IllegalArgumentException("nested compound order not supported")__                }_                lastElement = order__            }_            if (absoluteOrdering && isKeyOrder(lastElement) == false) {_                _                _                this.orderElements.add(KEY_ASC)__            }_        };create,a,new,ordering,strategy,to,sort,by,multiple,criteria,param,compound,order,a,list,of,link,bucket,order,s,to,sort,on,in,order,of,priority,param,absolute,ordering,code,true,to,add,a,tie,breaker,to,avoid,non,deterministic,ordering,if,needed,code,false,otherwise;compound,order,list,bucket,order,compound,order,boolean,absolute,ordering,this,order,elements,new,linked,list,compound,order,bucket,order,last,element,null,for,bucket,order,order,order,elements,if,order,instanceof,compound,order,throw,new,illegal,argument,exception,nested,compound,order,not,supported,last,element,order,if,absolute,ordering,is,key,order,last,element,false,this,order,elements,add
InternalOrder -> CompoundOrder -> CompoundOrder(List<BucketOrder> compoundOrder, boolean absoluteOrdering);1537806831;Create a new ordering strategy to sort by multiple criteria.__@param compoundOrder    a list of {@link BucketOrder}s to sort on, in order of priority._@param absoluteOrdering {@code true} to add a tie-breaker to avoid non-deterministic ordering if needed,_{@code false} otherwise.;CompoundOrder(List<BucketOrder> compoundOrder, boolean absoluteOrdering) {_            this.orderElements = new LinkedList<>(compoundOrder)__            BucketOrder lastElement = null__            for (BucketOrder order : orderElements) {_                if (order instanceof CompoundOrder) {_                    throw new IllegalArgumentException("nested compound order not supported")__                }_                lastElement = order__            }_            if (absoluteOrdering && isKeyOrder(lastElement) == false) {_                _                _                this.orderElements.add(KEY_ASC)__            }_        };create,a,new,ordering,strategy,to,sort,by,multiple,criteria,param,compound,order,a,list,of,link,bucket,order,s,to,sort,on,in,order,of,priority,param,absolute,ordering,code,true,to,add,a,tie,breaker,to,avoid,non,deterministic,ordering,if,needed,code,false,otherwise;compound,order,list,bucket,order,compound,order,boolean,absolute,ordering,this,order,elements,new,linked,list,compound,order,bucket,order,last,element,null,for,bucket,order,order,order,elements,if,order,instanceof,compound,order,throw,new,illegal,argument,exception,nested,compound,order,not,supported,last,element,order,if,absolute,ordering,is,key,order,last,element,false,this,order,elements,add
InternalOrder -> CompoundOrder -> CompoundOrder(List<BucketOrder> compoundOrder, boolean absoluteOrdering);1540486836;Create a new ordering strategy to sort by multiple criteria.__@param compoundOrder    a list of {@link BucketOrder}s to sort on, in order of priority._@param absoluteOrdering {@code true} to add a tie-breaker to avoid non-deterministic ordering if needed,_{@code false} otherwise.;CompoundOrder(List<BucketOrder> compoundOrder, boolean absoluteOrdering) {_            this.orderElements = new LinkedList<>(compoundOrder)__            BucketOrder lastElement = null__            for (BucketOrder order : orderElements) {_                if (order instanceof CompoundOrder) {_                    throw new IllegalArgumentException("nested compound order not supported")__                }_                lastElement = order__            }_            if (absoluteOrdering && isKeyOrder(lastElement) == false) {_                _                _                this.orderElements.add(KEY_ASC)__            }_        };create,a,new,ordering,strategy,to,sort,by,multiple,criteria,param,compound,order,a,list,of,link,bucket,order,s,to,sort,on,in,order,of,priority,param,absolute,ordering,code,true,to,add,a,tie,breaker,to,avoid,non,deterministic,ordering,if,needed,code,false,otherwise;compound,order,list,bucket,order,compound,order,boolean,absolute,ordering,this,order,elements,new,linked,list,compound,order,bucket,order,last,element,null,for,bucket,order,order,order,elements,if,order,instanceof,compound,order,throw,new,illegal,argument,exception,nested,compound,order,not,supported,last,element,order,if,absolute,ordering,is,key,order,last,element,false,this,order,elements,add
InternalOrder -> CompoundOrder -> CompoundOrder(List<BucketOrder> compoundOrder, boolean absoluteOrdering);1540583181;Create a new ordering strategy to sort by multiple criteria.__@param compoundOrder    a list of {@link BucketOrder}s to sort on, in order of priority._@param absoluteOrdering {@code true} to add a tie-breaker to avoid non-deterministic ordering if needed,_{@code false} otherwise.;CompoundOrder(List<BucketOrder> compoundOrder, boolean absoluteOrdering) {_            this.orderElements = new LinkedList<>(compoundOrder)__            BucketOrder lastElement = null__            for (BucketOrder order : orderElements) {_                if (order instanceof CompoundOrder) {_                    throw new IllegalArgumentException("nested compound order not supported")__                }_                lastElement = order__            }_            if (absoluteOrdering && isKeyOrder(lastElement) == false) {_                _                _                this.orderElements.add(KEY_ASC)__            }_        };create,a,new,ordering,strategy,to,sort,by,multiple,criteria,param,compound,order,a,list,of,link,bucket,order,s,to,sort,on,in,order,of,priority,param,absolute,ordering,code,true,to,add,a,tie,breaker,to,avoid,non,deterministic,ordering,if,needed,code,false,otherwise;compound,order,list,bucket,order,compound,order,boolean,absolute,ordering,this,order,elements,new,linked,list,compound,order,bucket,order,last,element,null,for,bucket,order,order,order,elements,if,order,instanceof,compound,order,throw,new,illegal,argument,exception,nested,compound,order,not,supported,last,element,order,if,absolute,ordering,is,key,order,last,element,false,this,order,elements,add
InternalOrder -> CompoundOrder -> public List<BucketOrder> orderElements();1524684173;@return unmodifiable list of {@link BucketOrder}s to sort on.;public List<BucketOrder> orderElements() {_            return Collections.unmodifiableList(orderElements)__        };return,unmodifiable,list,of,link,bucket,order,s,to,sort,on;public,list,bucket,order,order,elements,return,collections,unmodifiable,list,order,elements
InternalOrder -> CompoundOrder -> public List<BucketOrder> orderElements();1537806831;@return unmodifiable list of {@link BucketOrder}s to sort on.;public List<BucketOrder> orderElements() {_            return Collections.unmodifiableList(orderElements)__        };return,unmodifiable,list,of,link,bucket,order,s,to,sort,on;public,list,bucket,order,order,elements,return,collections,unmodifiable,list,order,elements
InternalOrder -> CompoundOrder -> public List<BucketOrder> orderElements();1540486836;@return unmodifiable list of {@link BucketOrder}s to sort on.;public List<BucketOrder> orderElements() {_            return Collections.unmodifiableList(orderElements)__        };return,unmodifiable,list,of,link,bucket,order,s,to,sort,on;public,list,bucket,order,order,elements,return,collections,unmodifiable,list,order,elements
InternalOrder -> CompoundOrder -> public List<BucketOrder> orderElements();1540583181;@return unmodifiable list of {@link BucketOrder}s to sort on.;public List<BucketOrder> orderElements() {_            return Collections.unmodifiableList(orderElements)__        };return,unmodifiable,list,of,link,bucket,order,s,to,sort,on;public,list,bucket,order,order,elements,return,collections,unmodifiable,list,order,elements
InternalOrder -> public static boolean isKeyOrder(BucketOrder order);1524684173;Determine if the ordering strategy is sorting on bucket key (ascending or descending).__@param order bucket ordering strategy to check._@return {@code true} if the ordering strategy is sorting on bucket key, {@code false} otherwise.;public static boolean isKeyOrder(BucketOrder order) {_        return isOrder(order, KEY_ASC) || isOrder(order, KEY_DESC)__    };determine,if,the,ordering,strategy,is,sorting,on,bucket,key,ascending,or,descending,param,order,bucket,ordering,strategy,to,check,return,code,true,if,the,ordering,strategy,is,sorting,on,bucket,key,code,false,otherwise;public,static,boolean,is,key,order,bucket,order,order,return,is,order,order,is,order,order
InternalOrder -> public static boolean isKeyOrder(BucketOrder order);1537806831;Determine if the ordering strategy is sorting on bucket key (ascending or descending).__@param order bucket ordering strategy to check._@return {@code true} if the ordering strategy is sorting on bucket key, {@code false} otherwise.;public static boolean isKeyOrder(BucketOrder order) {_        return isOrder(order, KEY_ASC) || isOrder(order, KEY_DESC)__    };determine,if,the,ordering,strategy,is,sorting,on,bucket,key,ascending,or,descending,param,order,bucket,ordering,strategy,to,check,return,code,true,if,the,ordering,strategy,is,sorting,on,bucket,key,code,false,otherwise;public,static,boolean,is,key,order,bucket,order,order,return,is,order,order,is,order,order
InternalOrder -> public static boolean isKeyOrder(BucketOrder order);1540486836;Determine if the ordering strategy is sorting on bucket key (ascending or descending).__@param order bucket ordering strategy to check._@return {@code true} if the ordering strategy is sorting on bucket key, {@code false} otherwise.;public static boolean isKeyOrder(BucketOrder order) {_        return isOrder(order, KEY_ASC) || isOrder(order, KEY_DESC)__    };determine,if,the,ordering,strategy,is,sorting,on,bucket,key,ascending,or,descending,param,order,bucket,ordering,strategy,to,check,return,code,true,if,the,ordering,strategy,is,sorting,on,bucket,key,code,false,otherwise;public,static,boolean,is,key,order,bucket,order,order,return,is,order,order,is,order,order
InternalOrder -> public static boolean isKeyOrder(BucketOrder order);1540583181;Determine if the ordering strategy is sorting on bucket key (ascending or descending).__@param order bucket ordering strategy to check._@return {@code true} if the ordering strategy is sorting on bucket key, {@code false} otherwise.;public static boolean isKeyOrder(BucketOrder order) {_        return isOrder(order, KEY_ASC) || isOrder(order, KEY_DESC)__    };determine,if,the,ordering,strategy,is,sorting,on,bucket,key,ascending,or,descending,param,order,bucket,ordering,strategy,to,check,return,code,true,if,the,ordering,strategy,is,sorting,on,bucket,key,code,false,otherwise;public,static,boolean,is,key,order,bucket,order,order,return,is,order,order,is,order,order
InternalOrder -> Streams -> public static BucketOrder readHistogramOrder(StreamInput in, boolean bwcOrderFlag) throws IOException;1524684173;ONLY FOR HISTOGRAM ORDER: Backwards compatibility logic to read a {@link BucketOrder} from a {@link StreamInput}.__@param in           stream with order data to read._@param bwcOrderFlag {@code true} to check {@code in.readBoolean()} in the backwards compat logic before reading_the order. {@code false} to skip this flag (order always present)._@return order read from the stream_@throws IOException on error reading from the stream.;public static BucketOrder readHistogramOrder(StreamInput in, boolean bwcOrderFlag) throws IOException {_            if (in.getVersion().onOrAfter(Version.V_6_0_0_alpha2)) {_                return Streams.readOrder(in)__            } else { _                if (bwcOrderFlag == false || in.readBoolean()) {_                    _                    byte id = in.readByte()__                    switch (id) {_                        case 1: return KEY_ASC__                        case 2: return KEY_DESC__                        case 3: return COUNT_ASC__                        case 4: return COUNT_DESC__                        case 0: _                            boolean asc = in.readBoolean()__                            String key = in.readString()__                            return new Aggregation(key, asc)__                        default: _                            throw new RuntimeException("unknown histogram order id [" + id + "]")__                    }_                } else { _                    return KEY_ASC__                }_            }_        };only,for,histogram,order,backwards,compatibility,logic,to,read,a,link,bucket,order,from,a,link,stream,input,param,in,stream,with,order,data,to,read,param,bwc,order,flag,code,true,to,check,code,in,read,boolean,in,the,backwards,compat,logic,before,reading,the,order,code,false,to,skip,this,flag,order,always,present,return,order,read,from,the,stream,throws,ioexception,on,error,reading,from,the,stream;public,static,bucket,order,read,histogram,order,stream,input,in,boolean,bwc,order,flag,throws,ioexception,if,in,get,version,on,or,after,version,return,streams,read,order,in,else,if,bwc,order,flag,false,in,read,boolean,byte,id,in,read,byte,switch,id,case,1,return,case,2,return,case,3,return,case,4,return,case,0,boolean,asc,in,read,boolean,string,key,in,read,string,return,new,aggregation,key,asc,default,throw,new,runtime,exception,unknown,histogram,order,id,id,else,return
InternalOrder -> Streams -> public static BucketOrder readHistogramOrder(StreamInput in, boolean bwcOrderFlag) throws IOException;1537806831;ONLY FOR HISTOGRAM ORDER: Backwards compatibility logic to read a {@link BucketOrder} from a {@link StreamInput}.__@param in           stream with order data to read._@param bwcOrderFlag {@code true} to check {@code in.readBoolean()} in the backwards compat logic before reading_the order. {@code false} to skip this flag (order always present)._@return order read from the stream_@throws IOException on error reading from the stream.;public static BucketOrder readHistogramOrder(StreamInput in, boolean bwcOrderFlag) throws IOException {_            if (in.getVersion().onOrAfter(Version.V_6_0_0_alpha2)) {_                return Streams.readOrder(in)__            } else { _                if (bwcOrderFlag == false || in.readBoolean()) {_                    _                    byte id = in.readByte()__                    switch (id) {_                        case 1: return KEY_ASC__                        case 2: return KEY_DESC__                        case 3: return COUNT_ASC__                        case 4: return COUNT_DESC__                        case 0: _                            boolean asc = in.readBoolean()__                            String key = in.readString()__                            return new Aggregation(key, asc)__                        default: _                            throw new RuntimeException("unknown histogram order id [" + id + "]")__                    }_                } else { _                    return KEY_ASC__                }_            }_        };only,for,histogram,order,backwards,compatibility,logic,to,read,a,link,bucket,order,from,a,link,stream,input,param,in,stream,with,order,data,to,read,param,bwc,order,flag,code,true,to,check,code,in,read,boolean,in,the,backwards,compat,logic,before,reading,the,order,code,false,to,skip,this,flag,order,always,present,return,order,read,from,the,stream,throws,ioexception,on,error,reading,from,the,stream;public,static,bucket,order,read,histogram,order,stream,input,in,boolean,bwc,order,flag,throws,ioexception,if,in,get,version,on,or,after,version,return,streams,read,order,in,else,if,bwc,order,flag,false,in,read,boolean,byte,id,in,read,byte,switch,id,case,1,return,case,2,return,case,3,return,case,4,return,case,0,boolean,asc,in,read,boolean,string,key,in,read,string,return,new,aggregation,key,asc,default,throw,new,runtime,exception,unknown,histogram,order,id,id,else,return
InternalOrder -> Streams -> public static BucketOrder readHistogramOrder(StreamInput in, boolean bwcOrderFlag) throws IOException;1540486836;ONLY FOR HISTOGRAM ORDER: Backwards compatibility logic to read a {@link BucketOrder} from a {@link StreamInput}.__@param in           stream with order data to read._@param bwcOrderFlag {@code true} to check {@code in.readBoolean()} in the backwards compat logic before reading_the order. {@code false} to skip this flag (order always present)._@return order read from the stream_@throws IOException on error reading from the stream.;public static BucketOrder readHistogramOrder(StreamInput in, boolean bwcOrderFlag) throws IOException {_            if (in.getVersion().onOrAfter(Version.V_6_0_0_alpha2)) {_                return Streams.readOrder(in)__            } else { _                if (bwcOrderFlag == false || in.readBoolean()) {_                    _                    byte id = in.readByte()__                    switch (id) {_                        case 1: return KEY_ASC__                        case 2: return KEY_DESC__                        case 3: return COUNT_ASC__                        case 4: return COUNT_DESC__                        case 0: _                            boolean asc = in.readBoolean()__                            String key = in.readString()__                            return new Aggregation(key, asc)__                        default: _                            throw new RuntimeException("unknown histogram order id [" + id + "]")__                    }_                } else { _                    return KEY_ASC__                }_            }_        };only,for,histogram,order,backwards,compatibility,logic,to,read,a,link,bucket,order,from,a,link,stream,input,param,in,stream,with,order,data,to,read,param,bwc,order,flag,code,true,to,check,code,in,read,boolean,in,the,backwards,compat,logic,before,reading,the,order,code,false,to,skip,this,flag,order,always,present,return,order,read,from,the,stream,throws,ioexception,on,error,reading,from,the,stream;public,static,bucket,order,read,histogram,order,stream,input,in,boolean,bwc,order,flag,throws,ioexception,if,in,get,version,on,or,after,version,return,streams,read,order,in,else,if,bwc,order,flag,false,in,read,boolean,byte,id,in,read,byte,switch,id,case,1,return,case,2,return,case,3,return,case,4,return,case,0,boolean,asc,in,read,boolean,string,key,in,read,string,return,new,aggregation,key,asc,default,throw,new,runtime,exception,unknown,histogram,order,id,id,else,return
InternalOrder -> Streams -> public static BucketOrder readHistogramOrder(StreamInput in, boolean bwcOrderFlag) throws IOException;1540583181;ONLY FOR HISTOGRAM ORDER: Backwards compatibility logic to read a {@link BucketOrder} from a {@link StreamInput}.__@param in           stream with order data to read._@param bwcOrderFlag {@code true} to check {@code in.readBoolean()} in the backwards compat logic before reading_the order. {@code false} to skip this flag (order always present)._@return order read from the stream_@throws IOException on error reading from the stream.;public static BucketOrder readHistogramOrder(StreamInput in, boolean bwcOrderFlag) throws IOException {_            if (in.getVersion().onOrAfter(Version.V_6_0_0_alpha2)) {_                return Streams.readOrder(in)__            } else { _                if (bwcOrderFlag == false || in.readBoolean()) {_                    _                    byte id = in.readByte()__                    switch (id) {_                        case 1: return KEY_ASC__                        case 2: return KEY_DESC__                        case 3: return COUNT_ASC__                        case 4: return COUNT_DESC__                        case 0: _                            boolean asc = in.readBoolean()__                            String key = in.readString()__                            return new Aggregation(key, asc)__                        default: _                            throw new RuntimeException("unknown histogram order id [" + id + "]")__                    }_                } else { _                    return KEY_ASC__                }_            }_        };only,for,histogram,order,backwards,compatibility,logic,to,read,a,link,bucket,order,from,a,link,stream,input,param,in,stream,with,order,data,to,read,param,bwc,order,flag,code,true,to,check,code,in,read,boolean,in,the,backwards,compat,logic,before,reading,the,order,code,false,to,skip,this,flag,order,always,present,return,order,read,from,the,stream,throws,ioexception,on,error,reading,from,the,stream;public,static,bucket,order,read,histogram,order,stream,input,in,boolean,bwc,order,flag,throws,ioexception,if,in,get,version,on,or,after,version,return,streams,read,order,in,else,if,bwc,order,flag,false,in,read,boolean,byte,id,in,read,byte,switch,id,case,1,return,case,2,return,case,3,return,case,4,return,case,0,boolean,asc,in,read,boolean,string,key,in,read,string,return,new,aggregation,key,asc,default,throw,new,runtime,exception,unknown,histogram,order,id,id,else,return
InternalOrder -> Streams -> public static BucketOrder readOrder(StreamInput in) throws IOException;1524684173;Read a {@link BucketOrder} from a {@link StreamInput}.__@param in stream with order data to read._@return order read from the stream_@throws IOException on error reading from the stream.;public static BucketOrder readOrder(StreamInput in) throws IOException {_            byte id = in.readByte()__            switch (id) {_                case COUNT_DESC_ID: return COUNT_DESC__                case COUNT_ASC_ID: return COUNT_ASC__                case KEY_DESC_ID: return KEY_DESC__                case KEY_ASC_ID: return KEY_ASC__                case Aggregation.ID:_                    boolean asc = in.readBoolean()__                    String key = in.readString()__                    return new Aggregation(key, asc)__                case CompoundOrder.ID:_                    int size = in.readVInt()__                    List<BucketOrder> compoundOrder = new ArrayList<>(size)__                    for (int i = 0_ i < size_ i++) {_                        compoundOrder.add(Streams.readOrder(in))__                    }_                    return new CompoundOrder(compoundOrder, false)__                default:_                    throw new RuntimeException("unknown order id [" + id + "]")__            }_        };read,a,link,bucket,order,from,a,link,stream,input,param,in,stream,with,order,data,to,read,return,order,read,from,the,stream,throws,ioexception,on,error,reading,from,the,stream;public,static,bucket,order,read,order,stream,input,in,throws,ioexception,byte,id,in,read,byte,switch,id,case,return,case,return,case,return,case,return,case,aggregation,id,boolean,asc,in,read,boolean,string,key,in,read,string,return,new,aggregation,key,asc,case,compound,order,id,int,size,in,read,vint,list,bucket,order,compound,order,new,array,list,size,for,int,i,0,i,size,i,compound,order,add,streams,read,order,in,return,new,compound,order,compound,order,false,default,throw,new,runtime,exception,unknown,order,id,id
InternalOrder -> Streams -> public static BucketOrder readOrder(StreamInput in) throws IOException;1537806831;Read a {@link BucketOrder} from a {@link StreamInput}.__@param in stream with order data to read._@return order read from the stream_@throws IOException on error reading from the stream.;public static BucketOrder readOrder(StreamInput in) throws IOException {_            byte id = in.readByte()__            switch (id) {_                case COUNT_DESC_ID: return COUNT_DESC__                case COUNT_ASC_ID: return COUNT_ASC__                case KEY_DESC_ID: return KEY_DESC__                case KEY_ASC_ID: return KEY_ASC__                case Aggregation.ID:_                    boolean asc = in.readBoolean()__                    String key = in.readString()__                    return new Aggregation(key, asc)__                case CompoundOrder.ID:_                    int size = in.readVInt()__                    List<BucketOrder> compoundOrder = new ArrayList<>(size)__                    for (int i = 0_ i < size_ i++) {_                        compoundOrder.add(Streams.readOrder(in))__                    }_                    return new CompoundOrder(compoundOrder, false)__                default:_                    throw new RuntimeException("unknown order id [" + id + "]")__            }_        };read,a,link,bucket,order,from,a,link,stream,input,param,in,stream,with,order,data,to,read,return,order,read,from,the,stream,throws,ioexception,on,error,reading,from,the,stream;public,static,bucket,order,read,order,stream,input,in,throws,ioexception,byte,id,in,read,byte,switch,id,case,return,case,return,case,return,case,return,case,aggregation,id,boolean,asc,in,read,boolean,string,key,in,read,string,return,new,aggregation,key,asc,case,compound,order,id,int,size,in,read,vint,list,bucket,order,compound,order,new,array,list,size,for,int,i,0,i,size,i,compound,order,add,streams,read,order,in,return,new,compound,order,compound,order,false,default,throw,new,runtime,exception,unknown,order,id,id
InternalOrder -> Streams -> public static BucketOrder readOrder(StreamInput in) throws IOException;1540486836;Read a {@link BucketOrder} from a {@link StreamInput}.__@param in stream with order data to read._@return order read from the stream_@throws IOException on error reading from the stream.;public static BucketOrder readOrder(StreamInput in) throws IOException {_            byte id = in.readByte()__            switch (id) {_                case COUNT_DESC_ID: return COUNT_DESC__                case COUNT_ASC_ID: return COUNT_ASC__                case KEY_DESC_ID: return KEY_DESC__                case KEY_ASC_ID: return KEY_ASC__                case Aggregation.ID:_                    boolean asc = in.readBoolean()__                    String key = in.readString()__                    return new Aggregation(key, asc)__                case CompoundOrder.ID:_                    int size = in.readVInt()__                    List<BucketOrder> compoundOrder = new ArrayList<>(size)__                    for (int i = 0_ i < size_ i++) {_                        compoundOrder.add(Streams.readOrder(in))__                    }_                    return new CompoundOrder(compoundOrder, false)__                default:_                    throw new RuntimeException("unknown order id [" + id + "]")__            }_        };read,a,link,bucket,order,from,a,link,stream,input,param,in,stream,with,order,data,to,read,return,order,read,from,the,stream,throws,ioexception,on,error,reading,from,the,stream;public,static,bucket,order,read,order,stream,input,in,throws,ioexception,byte,id,in,read,byte,switch,id,case,return,case,return,case,return,case,return,case,aggregation,id,boolean,asc,in,read,boolean,string,key,in,read,string,return,new,aggregation,key,asc,case,compound,order,id,int,size,in,read,vint,list,bucket,order,compound,order,new,array,list,size,for,int,i,0,i,size,i,compound,order,add,streams,read,order,in,return,new,compound,order,compound,order,false,default,throw,new,runtime,exception,unknown,order,id,id
InternalOrder -> Streams -> public static BucketOrder readOrder(StreamInput in) throws IOException;1540583181;Read a {@link BucketOrder} from a {@link StreamInput}.__@param in stream with order data to read._@return order read from the stream_@throws IOException on error reading from the stream.;public static BucketOrder readOrder(StreamInput in) throws IOException {_            byte id = in.readByte()__            switch (id) {_                case COUNT_DESC_ID: return COUNT_DESC__                case COUNT_ASC_ID: return COUNT_ASC__                case KEY_DESC_ID: return KEY_DESC__                case KEY_ASC_ID: return KEY_ASC__                case Aggregation.ID:_                    boolean asc = in.readBoolean()__                    String key = in.readString()__                    return new Aggregation(key, asc)__                case CompoundOrder.ID:_                    int size = in.readVInt()__                    List<BucketOrder> compoundOrder = new ArrayList<>(size)__                    for (int i = 0_ i < size_ i++) {_                        compoundOrder.add(Streams.readOrder(in))__                    }_                    return new CompoundOrder(compoundOrder, false)__                default:_                    throw new RuntimeException("unknown order id [" + id + "]")__            }_        };read,a,link,bucket,order,from,a,link,stream,input,param,in,stream,with,order,data,to,read,return,order,read,from,the,stream,throws,ioexception,on,error,reading,from,the,stream;public,static,bucket,order,read,order,stream,input,in,throws,ioexception,byte,id,in,read,byte,switch,id,case,return,case,return,case,return,case,return,case,aggregation,id,boolean,asc,in,read,boolean,string,key,in,read,string,return,new,aggregation,key,asc,case,compound,order,id,int,size,in,read,vint,list,bucket,order,compound,order,new,array,list,size,for,int,i,0,i,size,i,compound,order,add,streams,read,order,in,return,new,compound,order,compound,order,false,default,throw,new,runtime,exception,unknown,order,id,id
